#Time (s)     Err_Time (s)     Flux (erg/cm^2/s/A)    Err_Flux (Jy)				beta	z
             40.3000               0.0010    8.9290827062157786e-04    3.7830350918592797e-05	0.755	3.2425
             65.3000               0.0010    7.3655781942436396e-04    3.3919742079173513e-05	0.755	3.2425
             90.3000               0.0010    6.1831081555239456e-04    3.1891178092786303e-05	0.755	3.2425
            102.0000               0.0010    5.9168647620361659e-04    1.5263484216567955e-04	0.755	3.2425
            115.3000               0.0010    5.6598750383272012e-04    2.8671157386597770e-05	0.755	3.2425
            127.0000               0.0010    6.1354616127364827e-04    1.5385678380806650e-04	0.755	3.2425
            140.3000               0.0010    6.5706274497839292e-04    3.0258858506069400e-05	0.755	3.2425
            152.0000               0.0010    8.2014613976625760e-04    1.8226398498585899e-04	0.755	3.2425
            165.3000               0.0010    5.3951912268940510e-04    2.9318013911244985e-05	0.755	3.2425
            166.6000               0.0010    9.2037591630931886e-04    1.7820127936502662e-04	0.755	3.2425
            177.0000               0.0010    4.7164978579387570e-04    1.3598775453797763e-04	0.755	3.2425
            181.0000               0.0010    6.6871219575514735e-04    1.5383346099004510e-04	0.755	3.2425
            190.5000               0.0010    4.1305400805075125e-04    3.0434944925409918e-05	0.755	3.2425
            195.4000               0.0010    7.5558207181165230e-04    1.5221183984881492e-04	0.755	3.2425
            210.0000               0.0010    6.6871219575514735e-04    1.3971534556368590e-04	0.755	3.2425
            215.3000               0.0010    4.6946891493637884e-04    3.3294558413304105e-05	0.755	3.2425
            224.6000               0.0010    3.9886840861217857e-04    1.2405497065441377e-04	0.755	3.2425
            238.9000               0.0010    7.2771419142230332e-04    1.4678303810790615e-04	0.755	3.2425
            240.3000               0.0010    4.4300317735579300e-04    3.9170017601035530e-05	0.755	3.2425
            243.0000               0.0010    5.2576980659289636e-04    1.8747031269938230e-04	0.755	3.2425
            255.9000               0.0010    4.7681821940336895e-04    1.7609260082138077e-04	0.755	3.2425
            265.5000               0.0010    4.7556166793963773e-04    3.8106739114435973e-05	0.755	3.2425
            282.2000               0.0010    5.9741654110907132e-04    1.3354041111206792e-04	0.755	3.2425
            296.7000               0.0010    4.9975096558871302e-04    1.3475259636397944e-04	0.755	3.2425
            300.3000               0.0010    4.2580116061788088e-04    2.1961932904648116e-05	0.755	3.2425
            318.5000               0.0010    3.8778306618343449e-04    7.5091579916965526e-05	0.755	3.2425
            319.0000               0.0010    5.0256430809956989e-04    1.5226270990616983e-04	0.755	3.2425
            333.0000               0.0010    5.5813035438098029e-04    1.9025082975845562e-04	0.755	3.2425
            345.3000               0.0010    3.6008650020049444e-04    2.2552331414596155e-05	0.755	3.2425
            348.2000               0.0010    4.7681821940336895e-04    8.3712493501766552e-05	0.755	3.2425
            377.7000               0.0010    4.2598160042837149e-04    8.7480868119230062e-05	0.755	3.2425
            390.3000               0.0010    4.0738669451433730e-04    1.9886502205795005e-05	0.755	3.2425
            417.0000               0.0010    3.6652874505456072e-04    7.5651817830218597e-05	0.755	3.2425
            428.0000               0.0010    3.4611150797301052e-04    1.6236746602682034e-04	0.755	3.2425
            435.5000               0.0010    3.4229995296312016e-04    1.7970385251110058e-05	0.755	3.2425
            466.0000               0.0010    3.6310116291359880e-04    9.2920417925482752e-05	0.755	3.2425
