Time(s)	Magnitude	MagnitudeErr	Filter_or_grism		GCN
46483.20000000002	20.68	0.09	U		astroph-0604093
5581.4400000001915	19.22	0.04	B		astroph-0604093
14316.480000000092	19.86	0.08	B		astroph-0604093
16675.20000000012	20.23	0.19	B		astroph-0604093
18118.080000000133	20.22	0.18	B		astroph-0604093
26265.600000000177	20.28	0.29	B		astroph-0604093
30188.159999999938	20.63	0.21	B		astroph-0604093
41860.800000000054	21.09	0.04	B		astroph-0604093
42016.31999999999	21.17	0.05	B		astroph-0604093
43053.12000000004	21.19	0.04	B		astroph-0604093
43277.760000000126	21.16	0.04	B		astroph-0604093
43502.40000000021	21.24	0.05	B		astroph-0604093
43718.40000000002	21.15	0.05	B		astroph-0604093
43934.40000000013	21.19	0.04	B		astroph-0604093
44150.399999999936	21.23	0.07	B		astroph-0604093
44366.400000000045	21.12	0.04	B		astroph-0604093
44608.320000000094	21.16	0.05	B		astroph-0604093
44824.3200000002	21.27	0.04	B		astroph-0604093
45040.32000000001	21.24	0.04	B		astroph-0604093
45247.68000000014	21.25	0.04	B		astroph-0604093
45463.67999999994	21.16	0.04	B		astroph-0604093
45679.68000000005	21.22	0.04	B		astroph-0604093
45895.68000000016	21.21	0.04	B		astroph-0604093
46111.679999999964	21.2	0.04	B		astroph-0604093
46344.960000000036	21.27	0.04	B		astroph-0604093
47399.04000000004	21.28	0.04	B		astroph-0604093
47615.04000000015	21.26	0.04	B		astroph-0604093
47831.03999999995	21.31	0.04	B		astroph-0604093
48055.680000000044	21.24	0.04	B		astroph-0604093
48271.68000000015	21.31	0.04	B		astroph-0604093
48487.67999999996	21.35	0.04	B		astroph-0604093
48695.04000000009	21.33	0.04	B		astroph-0604093
54570.24000000021	21.44	0.04	B		astroph-0604093
68307.84000000011	21.76	0.03	B		astroph-0604093
72023.04000000005	21.6	0.2	B		astroph-0604093
16450.56000000003	19.63	0.21	V		astroph-0604093
16899.84000000021	19.53	0.3	V		astroph-0604093
21720.960000000025	19.61	0.18	V		astroph-0604093
26265.600000000177	19.73	0.3	V		astroph-0604093
46638.719999999965	20.89	0.03	V		astroph-0604093
50146.56000000008	21.04	0.02	V		astroph-0604093
55909.440000000155	21.2	0.05	V		astroph-0604093
56531.51999999993	21.21	0.05	V		astroph-0604093
61663.67999999994	21.31	0.05	V		astroph-0604093
67504.32000000014	21.41	0.03	V		astroph-0604093
71375.04000000002	21.4	0.2	V		astroph-0604093
4898.87999999994	18.59	0.04	R		astroph-0604093
6341.759999999954	18.74	0.03	R		astroph-0604093
7024.320000000205	18.81	0.03	R		astroph-0604093
13616.640000000189	19.33	0.05	R		astroph-0604093
14791.680000000213	19.45	0.11	R		astroph-0604093
18904.320000000145	19.53	0.14	R		astroph-0604093
24546.240000000194	19.55	0.18	R		astroph-0604093
28183.680000000004	19.84	0.14	R		astroph-0604093
40763.52000000015	20.51	0.08	R		astroph-0604093
40893.120000000155	20.43	0.07	R		astroph-0604093
41083.20000000002	20.5	0.04	R		astroph-0604093
41437.44000000012	20.45	0.03	R		astroph-0604093
41567.040000000125	20.46	0.04	R		astroph-0604093
41636.15999999996	20.44	0.04	R		astroph-0604093
41705.28000000011	20.41	0.05	R		astroph-0604093
41757.11999999999	20.52	0.05	R		astroph-0604093
41800.320000000196	20.55	0.05	R		astroph-0604093
41947.20000000016	20.51	0.05	R		astroph-0604093
42102.7200000001	20.46	0.04	R		astroph-0604093
42145.92		20.49	0.05	R		astroph-0604093
42197.760000000184	20.44	0.05	R		astroph-0604093
42240.96000000009	20.49	0.05	R		astroph-0604093
42292.79999999997	20.46	0.05	R		astroph-0604093
42344.64000000015	20.5	0.05	R		astroph-0604093
42387.840000000055	20.41	0.08	R		astroph-0604093
42439.67999999993	20.39	0.08	R		astroph-0604093
42491.52000000011	20.49	0.09	R		astroph-0604093
42534.720000000016	20.47	0.07	R		astroph-0604093
42586.5600000002	20.54	0.07	R		astroph-0604093
42629.760000000104	20.51	0.07	R		astroph-0604093
42681.59999999998	20.5	0.08	R		astroph-0604093
42733.44000000017	20.49	0.07	R		astroph-0604093
42776.640000000065	20.46	0.05	R		astroph-0604093
42854.40000000019	20.53	0.04	R		astroph-0604093
42949.43999999997	20.52	0.03	R		astroph-0604093
43165.44000000008	20.51	0.04	R		astroph-0604093
43390.08000000017	20.49	0.03	R		astroph-0604093
43614.71999999996	20.52	0.04	R		astroph-0604093
43822.08000000008	20.49	0.05	R		astroph-0604093
44046.720000000176	20.59	0.05	R		astroph-0604093
44262.71999999998	20.54	0.03	R		astroph-0604093
44478.72000000009	20.53	0.05	R		astroph-0604093
44720.64000000014	20.54	0.03	R		astroph-0604093
44927.99999999996	20.56	0.03	R		astroph-0604093
45144.00000000007	20.59	0.03	R		astroph-0604093
45360.00000000018	20.61	0.03	R		astroph-0604093
45575.999999999985	20.59	0.03	R		astroph-0604093
45792.0000000001	20.61	0.03	R		astroph-0604093
46008.00000000021	20.61	0.03	R		astroph-0604093
46232.63999999999	20.65	0.03	R		astroph-0604093
47070.72000000019	20.69	0.03	R		astroph-0604093
47286.719999999994	20.66	0.03	R		astroph-0604093
47511.36000000008	20.63	0.03	R		astroph-0604093
47718.72000000021	20.64	0.03	R		astroph-0604093
47943.35999999999	20.64	0.03	R		astroph-0604093
48159.3600000001	20.7	0.03	R		astroph-0604093
48375.36000000022	20.68	0.03	R		astroph-0604093
48591.36000000002	20.67	0.03	R		astroph-0604093
48841.92000000005	20.72	0.03	R		astroph-0604093
54354.24000000009	20.79	0.03	R		astroph-0604093
56280.96000000021	20.91	0.09	R		astroph-0604093
57058.55999999993	20.73	0.07	R		astroph-0604093
58380.47999999992	21.	0.09	R		astroph-0604093
59581.44000000019	20.85	0.06	R		astroph-0604093
59736.96000000014	20.88	0.05	R		astroph-0604093
60842.88000000001	21.	0.07	R		astroph-0604093
62458.55999999993	20.95	0.07	R		astroph-0604093
64800.			21.1	0.07	R		astroph-0604093
66718.08000000013	21.03	0.07	R		astroph-0604093
69102.7200000001	21.17	0.04	R		astroph-0604093
71763.84000000004	21.23	0.1	R		astroph-0604093
72023.04000000005	21.2	0.2	R		astroph-0604093
73500.47999999998	21.36	0.11	R		astroph-0604093
227465.27999999997	22.64	0.09	R		astroph-0604093
15517.440000000057	18.88	0.13	I		astroph-0604093
17927.999999999964	18.79	0.29	I		astroph-0604093
22550.399999999932	19.25	0.17	I		astroph-0604093
23587.19999999997	19.13	0.17	I		astroph-0604093
27198.72000000015	19.31	0.22	I		astroph-0604093
31008.960000000174	19.41	0.44	I		astroph-0604093
66605.76000000008	20.75	0.05	I		astroph-0604093
46785.59999999993	20.25	0.05	i		astroph-0604093
