Time_aftertrigger(s)		Mag		MagErr		Band		GCN
121				17.51		0.15		U		23349	
18300                   	17.55 		0.03	 	r'(SDSS)	23358
19020                  		17.2  		0.1	 	i'(SDSS)	23358
689.5				17.18		0.07		b		23360
586.				>18.06		?		m2		23360
3446.5				18.52		0.09		u_fc		23360
221.				17.6		0.08		u		23360
370.5				14.89		0.04		v		23360
610.5				>18.20		?		w1		23360
716.				>18.56		?		w2		23360
17640				17.3 		0.2 		 r		23362
17640				16.8 		0.1 		 i		23362
