Time		Mag		MagErr		Band		GCN
45		15.63		?		?		25948
918		18.07		0.02		R		25949
18450		21.01		0.08		R		25977
18450		19.91		0.08		I		25977
17640		20.86		0.04		r'		25960
17784		20.87		0.05		R		25954
25964		21.23		0.03		r(AB)		25956
52651		21.47		0.17		w		25958
38847.		>20.42		?		b		25978
45277.		>20.25		?		uvm2		25978
340.5		>19.04		?		u		25978
44369.		>20.07		?		v		25978
46007.5		>19.96		?		uvw1		25978
40229.5		>20.09		?		uvw2		25978
157.		18.01		0.05		white		25978
39456.		20.51		0.13		white		25978
