time	flux	flux_err	band
101.98	2.6391499905899273e-11	9.546063196242659e-13	V
202.18	1.5186723052084225e-11	5.493186007462122e-13	V
299.88	1.0506645354200441e-11	3.800356208980856e-13	V
400.08	8.739046961448115e-12	3.160998611915511e-13	V
500.28	7.970105554481008e-12	2.882864997255935e-13	V
598.78	6.629245052081467e-12	2.983651764243724e-13	V
698.98	5.513965864083014e-12	2.964464569852208e-13	V
799.18	4.18277085396979e-12	2.611638176108003e-13	V
899.48	3.814732357362415e-12	2.709742228109364e-13	V
996.18	3.4790772591562514e-12	2.7676208586968045e-13	V
1093.88	3.4790772591562514e-12	2.7676208586968045e-13	V
1194.08	3.172956171307144e-12	3.057159969615125e-13	V
1294.28	2.8937704210333413e-12	2.546204304434246e-13	V
1394.48	2.4069333981040557e-12	2.1178404942540356e-13	V
1492.98	2.6391499905899276e-12	2.7614807801516975e-13	V
134.78	2.2613398482370274e-11	6.162778884823342e-13	I
235.08	1.4268089856108773e-11	5.160907411163748e-13	I
333.48	1.0823453003345509e-11	3.9149486289107666e-13	I
432.88	9.002556086415171e-12	3.2563124352558506e-13	I
533.08	8.210428732720152e-12	3.695301649150241e-13	I
632.48	6.829137165097051e-12	3.073618035059273e-13	I
731.88	5.180430310240995e-12	2.331577715601227e-13	I
832.08	4.308894250780629e-12	2.6903870938735964e-13	I
930.58	3.929758262350295e-12	2.112749593301807e-13	I
1028.18	3.5839821313119134e-12	1.926850529936103e-13	I
1127.58	3.2686305518143604e-12	2.0408673175604442e-13	I
1226.88	2.981026493104585e-12	1.8612931153023468e-13	I
1327.08	2.7187284741185106e-12	1.9312110688090285e-13	I
1427.38	2.7187284741185106e-12	1.9312110688090285e-13	I
1525.88	2.47950983766164e-12	1.9724606942820626e-13	I
1593.28	2.062366453059621e-12	1.8146589314524967e-13	I
1659.78	2.062366453059621e-12	2.157961973385502e-13	I
1723.68	1.8809005599143712e-12	1.9680847106454059e-13	I
1797.18	2.062366453059621e-12	1.6406213454278814e-13	I
1866.28	1.8809005599143712e-12	1.8122575882376601e-13	I
1937.08	2.062366453059621e-12	1.6406213454278814e-13	I
2007.98	1.7154016983925063e-12	1.9357276860346416e-13	I
2078.78	1.8809005599143712e-12	1.9680847106454059e-13	I
2150.48	1.7154016983925063e-12	1.9357276860346416e-13	I
2220.48	1.7154016983925063e-12	1.7949145888792816e-13	I
2291.38	1.7154016983925063e-12	1.7949145888792816e-13	I
2362.18	1.7154016983925063e-12	1.7949145888792816e-13	I
2433.08	1.7154016983925063e-12	1.652798564177775e-13	I
2503.88	1.7154016983925063e-12	1.652798564177775e-13	I
2884.08	1.564464942783506e-12	1.5073702058020185e-13	I
2954.88	1.564464942783506e-12	1.7654046317049293e-13	I
3025.78	1.4268089856108773e-12	1.610068159964017e-13	I
3097.48	1.4268089856108773e-12	1.4929449272534035e-13	I
3168.28	1.4268089856108773e-12	1.610068159964017e-13	I
3239.18	1.301265260567533e-12	1.3615819562165291e-13	I
3431.88	1.18676802251488e-12	1.435722084694387e-13	I
3505.28	1.18676802251488e-12	1.339196364464012e-13	I
3576.08	1.0823453003345486e-12	1.3093941035439437e-13	I
3648.68	9.87110645831038e-13	1.3525533420645287e-13	I
3719.58	1.301265260567533e-12	1.5742379615886376e-13	I
3790.38	1.0823453003345486e-12	1.3093941035439437e-13	I
3861.28	1.18676802251488e-12	1.241777502740897e-13	I
3932.08	9.87110645831038e-13	1.5080344589295374e-13	I
4002.98	9.87110645831038e-13	1.4306519064681655e-13	I
4073.78	1.0823453003345486e-12	1.39661951983077e-13	I
4145.48	9.87110645831038e-13	1.5080344589295374e-13	I
4216.38	7.488e-13	1.373431203266861e-13	I
4287.18	9.87110645831038e-13	1.3525533420645287e-13	I
4357.18	9.87110645831038e-13	1.4306519064681655e-13	I
4427.98	9.00255608641517e-13	1.4452704754729801e-13	I
4498.88	8.21042873272017e-13	1.505937368284798e-13	I
4569.68	9.00255608641517e-13	1.583206483058149e-13	I
4641.48	6.829137165097038e-13	1.7432603640595727e-13	I
4712.28	9.00255608641517e-13	1.718624874773263e-13	I
4783.08	6.829137165097038e-13	1.9272214936812947e-13	I
4853.98	6.2282471180168e-13	1.5469539945124615e-13	I
4924.78	8.21042873272017e-13	1.9821816147033703e-13	I
4996.58	7.488e-13	1.8077711181814853e-13	I
5067.38	8.21042873272017e-13	2.2624989111047576e-13	I
5208.18	8.21042873272017e-13	2.78585226367864e-13	I
283.08	1.110829202335498e-11	1.0184143341735994e-13	R
380.08	8.426501225792645e-12	7.725462759923791e-14	R
480.08	7.685060455768751e-12	7.0457057760909e-14	R
580.08	6.392154865842227e-12	5.860362806400002e-14	R
680.08	5.3167628366852175e-12	4.874437467882022e-14	R
779.08	4.422290707099821e-12	4.054380490289772e-14	R
879.08	3.678301195449652e-12	3.3722868060884457e-14	R
977.08	3.3546505606658897e-12	3.075562120569674e-14	R
1075.08	3.3546505606658897e-12	3.075562120569674e-14	R
1175.08	3.0594776735786647e-12	2.804945991071926e-14	R
1274.08	2.790276801071144e-12	2.558141147666084e-14	R
1374.08	2.5447626873802217e-12	2.3330524552738397e-14	R
1474.08	2.3208511544792315e-12	2.127769127995162e-14	R
1574.08	2.1166414094167406e-12	1.9405485083784868e-14	R
1640.08	1.930399908417633e-12	1.7698012739370922e-14	R
