#t_mid (s)				Magb 			err 		Filter
101.98 						14.7 			0.04 		V
202.18 						15.3 			0.04 		V
299.88 						15.7 			0.04 		V
400.08 						15.9 			0.04 		V
500.28 						16.0 			0.04 		V
598.78 						16.2 			0.05 		V
698.98 						16.4 			0.06 		V
799.18 						16.7 			0.07 		V
899.48 						16.8 			0.08 		V
996.18 						16.9 			0.09 		V
1093.88 					16.9 			0.09 		V
1194.08 					17.0 			0.11 		V
1294.28 					17.1 			0.1 		V
1394.48 					17.3 			0.1 		V
1492.98 					17.2 			0.12 		V
134.78 						13.8 			0.03 		I
235.08 						14.3 			0.04 		I
333.48 						14.6 			0.04 		I
432.88 						14.8 			0.04 		I
533.08 						14.9 			0.05 		I
632.48 						15.1 			0.05 		I
731.88 						15.4 			0.05 		I
832.08 						15.6			0.07 		I
930.58 						15.7		 	0.06 		I
1028.18 					15.8 			0.06 		I
1127.58 					15.9 			0.07 		I
1226.88	 					16.0 			0.07 		I
1327.08 					16.1 			0.08 		I
1427.38 					16.1		 	0.08 		I
1525.88 					16.2	 		0.09 		I
1593.28 					16.4 			0.1 		I
1659.78 					16.4 			0.12 		I
1723.68 					16.5 			0.12 		I
1797.18	 					16.4 			0.09 		I
1866.28 					16.5 			0.11 		I
1937.08 					16.4 			0.09 		I
2007.98 					16.6 			0.13 		I
2078.78 					16.5 			0.12 		I
2150.48 					16.6 			0.13 		I
2220.48 					16.6 			0.12 		I
2291.38 					16.6 			0.12 		I
2362.18 					16.6 			0.12 		I
2433.08 					16.6 			0.11 		I
2503.88 					16.6 			0.11 		I
2884.08 					16.7 			0.11 		I
2954.88 					16.7 			0.13 		I
3025.78 					16.8 			0.13 		I
3097.48 					16.8 			0.12 		I
3168.28 					16.8			0.13		I
3239.18 					16.9		 	0.12 		I
3431.88 					17.0 			0.14 		I
3505.28 					17.0 			0.13 		I
3576.08 					17.1 			0.14 		I
3648.68 					17.2 			0.16 		I
3719.58 					16.9 			0.14 		I
3790.38 					17.1 			0.14 		I
3861.28 					17.0 			0.12 		I
3932.08 					17.2 			0.18 		I
4002.98 					17.2 			0.17 		I
4073.78 					17.1 			0.15 		I
4145.48 					17.2 			0.18 		I
4216.38 					17.5 			0.22 		I
4287.18 					17.2 			0.16 		I
4357.18 					17.2 			0.17 		I
4427.98 					17.3 			0.19 		I
4498.88 					17.4 			0.22 		I
4569.68 					17.3 			0.21 		I
4641.48 					17.6 			0.32 		I
4712.28 					17.3 			0.23 		I
4783.08 					17.6 			0.36 		I
4853.98 					17.7 			0.31 		I
4924.78 					17.4 			0.3 		I
4996.58 					17.5 			0.3 		I
5067.38 					17.4 			0.35 		I
5208.18 					17.4 			0.45 		I
283.08 						15.1 			0.01 		R
380.08 						15.4 			0.01 		R
480.08 						15.5 			0.01 		R
580.08 						15.7 			0.01 		R
680.08 						15.9 			0.01 		R
779.08 						16.1 			0.01 		R
879.08 						16.3 			0.01 		R
977.08 						16.4 			0.01 		R
1075.08	 					16.4			0.01 		R
1175.08	 					16.5 			0.01 		R
1274.08	 					16.6 			0.01 		R
1374.08	 					16.7 			0.01 		R
1474.08	 					16.8 			0.01 		R
1574.08	 					16.9 			0.01 		R
1640.08	 					17.0 			0.01 		R
1705.08	 					17.0 			0.01 		R
1778.08	 					17.0 			0.01 		R
1844.08	 					17.0 			0.01 		R
1915.08		 				17.1 			0.01 		R
1986.08	 					17.1 			0.01 		R
2057.08 					17.1 			0.01 		R
2128.08 					17.1 			0.01 		R
2199.08 					17.1 			0.01 		R
2270.08 					17.2 			0.01 		R
2341.08 					17.1 			0.01 		R
2412.08 					17.2 			0.01 		R
2483.08 					17.2 			0.01 		R
2933.08 					17.3			0.01 		R
3004.08 					17.3			0.01 		R
3075.08 					17.3			0.01 		R
3146.08 					17.3			0.01 		R
3217.08 					17.4			0.01 		R
3288.08 					17.4			0.01 		R
3483.08 					17.4			0.01 		R
3554.08 					17.5			0.01 		R
3625.08 					17.6			0.01 		R
3698.08 					17.6			0.01 		R
3769.08 					17.6			0.01 		R
3840.08 					17.7 			0.01 		R
3911.08 					17.6 			0.01 		R
3982.08 					17.6 			0.01 		R
4053.08 					17.8 			0.01 		R
4123.08 					17.8 			0.01 		R
4194.08 					17.9 			0.01 		R
4265.08 					17.8 			0.01 		R
4336.08 					17.9 			0.01 		R
4407.08 					17.7 			0.01 		R
4478.08 					17.8 			0.01 		R
4549.08 					17.9 			0.01 		R
4620.08 					18.0 			0.01 		R
4761.08 					17.7 			0.01 		R
4832.08 					17.8 			0.01 		R
4903.08 					17.9 			0.01 		R
