Time	Mag	MagErr	Filter
7171.200000000001	?	?	R
8985.6	?	?	z
25920.	>24.1	?	R
28425.600000000002	?	?	g
29548.800000000003	>24.9(AB)	?	r
30585.6	?	?	i
30931.199999999997	?	?	z
32054.4	?	?	R
129600.	?	?	R
984960.	?	?	R
1.0195200000000001e6	?	780	K'
1.24416e6	?	?	r
3.9312*10^6	?	?	K
3.6892800000000005e6	?	?	J
