time, mag, err, band, source
exposures        start       mean   ,,,,
20x90s; 120x60s   2.8         4.1     ,21.2,0,Rc,3067
130x90s           2.5         4.2     ,21.3,0,V,3067
60x90s            4.3         5.1     ,21.1,0,Ic,3067
T+40449 exp 4000,21.22,0,B,3093
T+60374 2500,20.24,0,UVW1,3093
T+63181 4000,20.49,0,UVW1,3093
T+67488 4000,19.6,0,UVM2,3093
T+71795 4000,19.56,0,UVM2,3093
T+76102 4000,18.7,0,UVW2,3093
T+80409 4000,18.67,0,UVW2,3093
T+84716 4000,18.64,0,UVW2,3093
