Time	Mag	MagErr	Band	GCN
1007	>18.9	?	Clear	26983
99	>19.1	?	Clear	26985
310	>19.1	?	Clear	26985
521	>19.2	?	Clear	26985
732	>19.2	?	Clear	26985
944	>19.2	?	Clear	26985
1155	>19.1	?	Clear	26985
1652	>18.9	?	Clear	26985
1864	>19.1	?	Clear	26985
2075	>19.1	?	Clear	26985
2286	>19.1	?	Clear	26985
2497	>19.0	?	Clear	26985
1140	16.3	0.1	R	26986
1140	16.8	0.1	I	26986
9468	17.7	0.1	r	26989
330	>16.3	?	R	26991
331     >16.2   ?	R       26992
411     >16.8   ?	R	26992
419     >16.6   ?       R	26992
521     >16.9   ?       R	26992
642     >17.5   ?       R	26992
797     >18.0   ?       R	26992
789     >17.5   ?       R	26992
966     >17.6   ?       R	26992
264	17.09	0.09	w2	27000		
5452	16.69	0.07	w2	27000
72185	19.70	0.06	r'	27003
