	Time	Mag	MagErr	Band	System	Telescope	Source
0	124.0	18.5	0.0	White	?	none	8059
1	210.0	21.7	0.2	g	Vega	none	8060
2	210.0	20.5	0.1	r	Vega	none	8060
3	210.0	20.1	0.1	i	Vega	none	8060
4	210.0	19.9	0.1	z	Vega	none	8060
5	125.5	20.7	0.0	White	Swift	none	8071
6	11748.5	22.12	0.0	White	Swift	none	8071
7	3132.5	19.81	0.0	v	Swift	none	8071
8	11190.0	21.43	0.0	b	Swift	none	8071
9	5160.5	20.11	0.0	u	Swift	none	8071
10	4955.5	19.99	0.0	uvw1	Swift	none	8071
11	5458.5	20.09	0.0	uvm2	Swift	none	8071
12	11866.5	20.12	0.0	uvw2	Swift	none	8071
13	19476.0	22.5	0.4	i'	Vega	none	8076
