Time	mag	mag_err	band	Telescope	Source
21144.0	19.9	0.1	g'	none	manual
21144.0	19.3	0.1	r'	none	manual
21144.0	19.2	0.1	i'	none	manual
21144.0	19.1	0.1	z'	none	manual
21132.0	19.0	0.15	J	none	manual
21132.0	18.7	0.15	H	none	manual
21132.0	19.0	0.15	K	none	manual
2469.0	21.62	0.07	R	none	manual
885.0	21.32	0.09	I	none	manual
2829.0	21.43	0.09	I	none	manual
1173.0	21.2	0.08	I	none	manual
-474.0	20.66	0.05	I	none	manual
112910.0	21.26	0.05	g'	none	manual
112910.0	20.49	0.05	r'	none	manual
112910.0	20.24	0.05	i'	none	manual
112910.0	19.99	0.05	z'	none	manual
112930.0	19.6	0.1	J	none	manual
42539.0	17.7	0.1	J	none	manual
42539.0	17.0	0.1	H	none	manual
42539.0	16.1	0.1	Ks	none	manual
19867.0	20.23	0.19	v	none	manual
26501.5	20.19	0.14	b	none	manual
25651.0	21.21	0.26	u	none	manual
