T_start(s)	Mag	MagErr	Filter	Telescope	Source
76.5	16.19	0.19	rr	GROND	filgas11
116.0	16.46	0.16	rr	GROND	filgas11
155.0	16.65	0.2	rr	GROND	filgas11
233.0	16.93	0.2	rr	GROND	filgas11
342.0	17.44	0.05	gg	GROND	filgas11
444.0	17.67	0.04	gg	GROND	filgas11
544.0	17.86	0.04	gg	GROND	filgas11
646.0	18.0	0.04	gg	GROND	filgas11
765.0	18.11	0.04	gg	GROND	filgas11
866.0	18.24	0.04	gg	GROND	filgas11
968.0	18.29	0.03	gg	GROND	filgas11
1070.0	18.37	0.04	gg	GROND	filgas11
1240.0	18.49	0.04	gg	GROND	filgas11
1340.0	18.54	0.04	gg	GROND	filgas11
1440.0	18.57	0.04	gg	GROND	filgas11
1540.0	18.63	0.04	gg	GROND	filgas11
1680.0	18.63	0.04	gg	GROND	filgas11
1780.0	18.7	0.03	gg	GROND	filgas11
1880.0	18.72	0.04	gg	GROND	filgas11
1990.0	18.74	0.03	gg	GROND	filgas11
2100.0	18.77	0.04	gg	GROND	filgas11
2200.0	18.81	0.04	gg	GROND	filgas11
2300.0	18.83	0.04	gg	GROND	filgas11
2410.0	18.85	0.04	gg	GROND	filgas11
2520.0	18.88	0.04	gg	GROND	filgas11
2620.0	18.91	0.04	gg	GROND	filgas11
2720.0	18.91	0.04	gg	GROND	filgas11
2830.0	18.96	0.04	gg	GROND	filgas11
2940.0	19.0	0.04	gg	GROND	filgas11
3040.0	19.01	0.03	gg	GROND	filgas11
3140.0	19.03	0.03	gg	GROND	filgas11
3240.0	19.03	0.04	gg	GROND	filgas11
3360.0	19.06	0.04	gg	GROND	filgas11
3460.0	19.07	0.04	gg	GROND	filgas11
3560.0	19.1	0.04	gg	GROND	filgas11
3660.0	19.14	0.04	gg	GROND	filgas11
3770.0	19.11	0.05	gg	GROND	filgas11
3870.0	19.16	0.05	gg	GROND	filgas11
3970.0	19.13	0.04	gg	GROND	filgas11
4080.0	19.19	0.04	gg	GROND	filgas11
4190.0	19.2	0.05	gg	GROND	filgas11
4290.0	19.3	0.04	gg	GROND	filgas11
4390.0	19.24	0.05	gg	GROND	filgas11
4500.0	19.24	0.04	gg	GROND	filgas11
4620.0	19.29	0.09	gg	GROND	filgas11
4710.0	19.2	0.06	gg	GROND	filgas11
4820.0	19.24	0.06	gg	GROND	filgas11
4920.0	19.37	0.07	gg	GROND	filgas11
90300.0	20.19	0.04	gg	GROND	filgas11
176000.0	20.92	0.05	gg	GROND	filgas11
262000.0	21.36	0.04	gg	GROND	filgas11
435000.0	22.26	0.05	gg	GROND	filgas11
522000.0	22.83	0.12	gg	GROND	filgas11
781000.0	23.88	0.3	gg	GROND	filgas11
1900000.0	24.69	0.17	gg	GROND	filgas11
2420000.0	25.12	0.19	gg	GROND	filgas11
5190000.0	25.61	0.24	gg	GROND	filgas11
342.0	17.28	0.03	rr	GROND	filgas11
444.0	17.53	0.03	rr	GROND	filgas11
544.0	17.71	0.03	rr	GROND	filgas11
646.0	17.86	0.03	rr	GROND	filgas11
765.0	18.0	0.04	rr	GROND	filgas11
866.0	18.1	0.03	rr	GROND	filgas11
968.0	18.17	0.03	rr	GROND	filgas11
1070.0	18.21	0.03	rr	GROND	filgas11
1240.0	18.33	0.04	rr	GROND	filgas11
1340.0	18.39	0.03	rr	GROND	filgas11
1440.0	18.43	0.03	rr	GROND	filgas11
1540.0	18.45	0.03	rr	GROND	filgas11
1680.0	18.49	0.04	rr	GROND	filgas11
1780.0	18.54	0.03	rr	GROND	filgas11
1880.0	18.56	0.03	rr	GROND	filgas11
1990.0	18.58	0.03	rr	GROND	filgas11
2100.0	18.64	0.04	rr	GROND	filgas11
2200.0	18.64	0.03	rr	GROND	filgas11
2300.0	18.64	0.04	rr	GROND	filgas11
2410.0	18.72	0.04	rr	GROND	filgas11
2520.0	18.73	0.04	rr	GROND	filgas11
2620.0	18.76	0.03	rr	GROND	filgas11
2720.0	18.77	0.03	rr	GROND	filgas11
2830.0	18.81	0.04	rr	GROND	filgas11
2940.0	18.82	0.04	rr	GROND	filgas11
3040.0	18.84	0.03	rr	GROND	filgas11
3140.0	18.85	0.03	rr	GROND	filgas11
3240.0	18.88	0.04	rr	GROND	filgas11
3360.0	18.9	0.04	rr	GROND	filgas11
3460.0	18.92	0.03	rr	GROND	filgas11
3560.0	18.94	0.03	rr	GROND	filgas11
3660.0	18.94	0.04	rr	GROND	filgas11
3770.0	18.98	0.04	rr	GROND	filgas11
3870.0	18.95	0.04	rr	GROND	filgas11
3970.0	18.98	0.04	rr	GROND	filgas11
4080.0	19.06	0.04	rr	GROND	filgas11
4190.0	19.04	0.04	rr	GROND	filgas11
4290.0	19.06	0.04	rr	GROND	filgas11
4390.0	19.11	0.04	rr	GROND	filgas11
4500.0	19.1	0.04	rr	GROND	filgas11
4620.0	19.13	0.05	rr	GROND	filgas11
4710.0	19.15	0.04	rr	GROND	filgas11
4820.0	19.18	0.04	rr	GROND	filgas11
4920.0	19.1	0.05	rr	GROND	filgas11
90300.0	19.91	0.04	rr	GROND	filgas11
176000.0	20.55	0.04	rr	GROND	filgas11
262000.0	21.0	0.04	rr	GROND	filgas11
435000.0	22.01	0.04	rr	GROND	filgas11
522000.0	22.46	0.07	rr	GROND	filgas11
781000.0	23.5	0.15	rr	GROND	filgas11
1900000.0	24.45	0.23	rr	GROND	filgas11
2420000.0	24.9	0.25	rr	GROND	filgas11
5190000.0	25.13	0.22	rr	GROND	filgas11
342.0	17.24	0.04	ii	GROND	filgas11
444.0	17.49	0.04	ii	GROND	filgas11
544.0	17.73	0.03	ii	GROND	filgas11
646.0	17.84	0.04	ii	GROND	filgas11
765.0	18.01	0.04	ii	GROND	filgas11
866.0	18.07	0.04	ii	GROND	filgas11
968.0	18.15	0.04	ii	GROND	filgas11
1070.0	18.24	0.04	ii	GROND	filgas11
1240.0	18.32	0.04	ii	GROND	filgas11
1340.0	18.33	0.04	ii	GROND	filgas11
1440.0	18.45	0.04	ii	GROND	filgas11
1540.0	18.46	0.04	ii	GROND	filgas11
1680.0	18.49	0.05	ii	GROND	filgas11
1780.0	18.5	0.04	ii	GROND	filgas11
1880.0	18.56	0.04	ii	GROND	filgas11
1990.0	18.59	0.04	ii	GROND	filgas11
2100.0	18.62	0.04	ii	GROND	filgas11
2200.0	18.64	0.04	ii	GROND	filgas11
2300.0	18.64	0.04	ii	GROND	filgas11
2410.0	18.71	0.04	ii	GROND	filgas11
2520.0	18.65	0.04	ii	GROND	filgas11
2620.0	18.72	0.04	ii	GROND	filgas11
2720.0	18.77	0.04	ii	GROND	filgas11
2830.0	18.78	0.04	ii	GROND	filgas11
2940.0	18.85	0.05	ii	GROND	filgas11
3040.0	18.88	0.04	ii	GROND	filgas11
3140.0	18.83	0.04	ii	GROND	filgas11
3240.0	18.83	0.04	ii	GROND	filgas11
3360.0	18.87	0.05	ii	GROND	filgas11
3460.0	18.94	0.04	ii	GROND	filgas11
3560.0	18.91	0.04	ii	GROND	filgas11
3660.0	18.97	0.04	ii	GROND	filgas11
3770.0	18.96	0.05	ii	GROND	filgas11
3870.0	19.05	0.05	ii	GROND	filgas11
3970.0	19.03	0.04	ii	GROND	filgas11
4080.0	19.03	0.05	ii	GROND	filgas11
4190.0	18.98	0.05	ii	GROND	filgas11
4290.0	19.08	0.04	ii	GROND	filgas11
4390.0	19.0	0.04	ii	GROND	filgas11
4500.0	19.1	0.05	ii	GROND	filgas11
4620.0	19.03	0.06	ii	GROND	filgas11
4710.0	19.09	0.05	ii	GROND	filgas11
4820.0	19.13	0.06	ii	GROND	filgas11
4920.0	19.15	0.08	ii	GROND	filgas11
90300.0	19.81	0.05	ii	GROND	filgas11
176000.0	20.38	0.05	ii	GROND	filgas11
262000.0	20.79	0.04	ii	GROND	filgas11
435000.0	21.82	0.06	ii	GROND	filgas11
522000.0	22.17	0.11	ii	GROND	filgas11
781000.0	23.2	0.18	ii	GROND	filgas11
1900000.0	23.54	100.0	ii	GROND	filgas11
2420000.0	23.78	100.0	ii	GROND	filgas11
5190000.0	24.22	100.0	ii	GROND	filgas11
342.0	17.1	0.05	zz	GROND	filgas11
444.0	17.37	0.04	zz	GROND	filgas11
544.0	17.56	0.04	zz	GROND	filgas11
646.0	17.67	0.04	zz	GROND	filgas11
765.0	17.83	0.05	zz	GROND	filgas11
866.0	17.89	0.04	zz	GROND	filgas11
968.0	17.97	0.04	zz	GROND	filgas11
1070.0	18.05	0.04	zz	GROND	filgas11
1240.0	18.15	0.05	zz	GROND	filgas11
1340.0	18.21	0.04	zz	GROND	filgas11
1440.0	18.22	0.04	zz	GROND	filgas11
1540.0	18.29	0.04	zz	GROND	filgas11
1680.0	18.36	0.05	zz	GROND	filgas11
1780.0	18.4	0.04	zz	GROND	filgas11
1880.0	18.41	0.04	zz	GROND	filgas11
1990.0	18.45	0.04	zz	GROND	filgas11
2100.0	18.41	0.05	zz	GROND	filgas11
2200.0	18.47	0.04	zz	GROND	filgas11
2300.0	18.48	0.04	zz	GROND	filgas11
2410.0	18.58	0.04	zz	GROND	filgas11
2520.0	18.56	0.06	zz	GROND	filgas11
2620.0	18.57	0.04	zz	GROND	filgas11
2720.0	18.52	0.04	zz	GROND	filgas11
2830.0	18.61	0.04	zz	GROND	filgas11
2940.0	18.64	0.05	zz	GROND	filgas11
3040.0	18.69	0.04	zz	GROND	filgas11
3140.0	18.72	0.05	zz	GROND	filgas11
3240.0	18.69	0.05	zz	GROND	filgas11
3360.0	18.73	0.06	zz	GROND	filgas11
3460.0	18.72	0.05	zz	GROND	filgas11
3560.0	18.77	0.05	zz	GROND	filgas11
3660.0	18.83	0.05	zz	GROND	filgas11
3770.0	18.81	0.06	zz	GROND	filgas11
3870.0	18.83	0.05	zz	GROND	filgas11
3970.0	18.77	0.04	zz	GROND	filgas11
4080.0	18.81	0.05	zz	GROND	filgas11
4190.0	18.87	0.06	zz	GROND	filgas11
4290.0	18.92	0.05	zz	GROND	filgas11
4390.0	18.9	0.05	zz	GROND	filgas11
4500.0	18.85	0.04	zz	GROND	filgas11
4620.0	18.86	0.08	zz	GROND	filgas11
4710.0	18.86	0.05	zz	GROND	filgas11
4820.0	18.92	0.07	zz	GROND	filgas11
4920.0	18.95	0.06	zz	GROND	filgas11
90300.0	19.65	0.04	zz	GROND	filgas11
176000.0	20.27	0.05	zz	GROND	filgas11
262000.0	20.57	0.05	zz	GROND	filgas11
435000.0	21.51	0.06	zz	GROND	filgas11
522000.0	22.22	0.11	zz	GROND	filgas11
781000.0	23.49	0.25	zz	GROND	filgas11
1900000.0	23.34	100.0	zz	GROND	filgas11
2420000.0	23.36	100.0	zz	GROND	filgas11
5190000.0	23.87	100.0	zz	GROND	filgas11
425.0	17.3	0.07	J	GROND	filgas11
628.0	17.71	0.06	J	GROND	filgas11
939.0	18.03	0.06	J	GROND	filgas11
1410.0	18.22	0.07	J	GROND	filgas11
2070.0	18.47	0.07	J	GROND	filgas11
3320.0	18.69	0.06	J	GROND	filgas11
5000.0	18.93	0.06	J	GROND	filgas11
90300.0	19.42	0.06	J	GROND	filgas11
176000.0	19.97	0.05	J	GROND	filgas11
262000.0	20.23	0.05	J	GROND	filgas11
435000.0	21.47	0.08	J	GROND	filgas11
522000.0	22.03	0.09	J	GROND	filgas11
781000.0	22.16	100.0	J	GROND	filgas11
1900000.0	21.96	100.0	J	GROND	filgas11
2420000.0	22.36	100.0	J	GROND	filgas11
5190.0	22.57	100.0	J	GROND	filgas11
95.6	16.19	0.12	H	GROND	filgas11
175.0	16.97	0.21	H	GROND	filgas11
425.0	17.2	0.07	H	GROND	filgas11
628.0	17.65	0.08	H	GROND	filgas11
939.0	17.89	0.07	H	GROND	filgas11
1410.0	18.14	0.07	H	GROND	filgas11
2070.0	18.48	0.07	H	GROND	filgas11
3320.0	18.76	0.07	H	GROND	filgas11
5000.0	18.91	0.06	H	GROND	filgas11
90300.0	19.14	0.05	H	GROND	filgas11
