Time	Mag	MagErr	Band	Telescope	Source
146.0	19.6	0	White	none	10841
1735.0	24.0	0	i'	none	10842
6984.0	18.8	0	J	none	10843
6984.0	17.9	0	H	none	10843
6984.0	16.6	0	Ks	none	10843
1497.0	24.2	0	g'	none	10844
1497.0	23.9	0	r'	none	10844
1497.0	22.9	0	i'	none	10844
1497.0	22.5	0	z'	none	10844
1497.0	21.4	0	J	none	10844
1497.0	20.7	0	H	none	10844
1497.0	20.3	0	K	none	10844
147.0	21.5	0	white(fc)_swift	none	10856
939.0	21.5	0	white(fc)_swift	none	10856
409.0	20.7	0	u(fc)_swift	none	10856
3825.0	20.6	0	v_swift	none	10856
3480.5	21.1	0	b_swift	none	10856
3250.0	21.1	0	u_swift	none	10856
4049.5	21.1	0	uvw1_swift	none	10856
3710.5	21.1	0	uvw2_swift	none	10856
3349.5	22.2	0	white_swift	none	10856
19800.0	22.1	0	J	none	10861
19800.0	20.9	0	K	none	10861
772167.0	22.2	0	K'	none	10928
