	Time	Mag	MagErr	Band	System	Telescope	Source
0	1994.0	19.08	0.01	g'	?	none	8693
1	1994.0	18.04	0.01	i'	?	none	8693
2	1994.0	18.24	0.01	z'	?	none	8693
3	2119.0	16.12	0.03	J	?	none	8693
4	2119.0	15.45	0.02	H	?	none	8693
5	2119.0	14.92	0.03	Ks	?	none	8693
6	135.0	14.84	0.02	white	Swift	none	8696
7	948.0	17.36	0.03	white	Swift	none	8696
8	397.0	16.32	0.03	u	Swift	none	8696
9	19992.0	20.45	0.25	i	Vega	none	8699
10	21936.0	21.34	0.3	r	Vega	none	8699
11	135.0	14.84	0.02	white	Swift	none	8712
12	948.0	17.36	0.03	white	Swift	none	8712
13	612.0	16.2	0.02	v	Swift	none	8712
14	538.0	16.86	0.02	b	Swift	none	8712
15	397.0	16.32	0.03	u	Swift	none	8712
16	1233.5	20.9	0.0	uvw1	Swift	none	8712
17	1208.5	21.0	0.0	uvm2	Swift	none	8712
18	1245.5	21.1	0.0	uvw2	Swift	none	8712
19	17017.0	18.3	0.0	g'	?	none	8724
20	18204.0	19.2	0.0	g'	?	none	8724
21	22939.0	19.2	0.0	g'	?	none	8724
22	17017.0	18.0	0.3	Rc	?	none	8724
23	18204.0	18.9	0.3	Rc	?	none	8724
24	22939.0	19.3	0.4	Rc	?	none	8724
25	17017.0	17.8	0.0	Ic	?	none	8724
26	18204.0	18.2	0.0	Ic	?	none	8724
27	22939.0	18.6	0.3	Ic	?	none	8724
