Time	Mag	MagErr	Band	Telescope	Source
9072000.0	25.0	0.2	r'	none	14500
25920.0	23.3	0.0	g'	none	11020
25920.0	23.9	0.0	r'	none	11020
25920.0	23.5	0.0	i'	none	11020
25920.0	23.5	0.0	z'	none	11020
25920.0	22.0	0.0	J	none	11020
25920.0	21.2	0.3	H	none	11020
25920.0	20.3	0.0	K	none	11020
159.5	20.54	0.0	white_fc	none	11016
906.5	21.26	0.0	white	none	11016
422.0	19.82	0.0	u_fc	none	11016
947.0	20.04	0.0	u	none	11016
1237.0	20.06	0.0	v	none	11016
809.0	20.37	0.0	b	none	11016
1345.5	20.62	0.0	uvw1	none	11016
1923.5	20.69	0.0	uvm2	none	11016
827.5	20.19	0.0	uvw2	none	11016
50.0	14.62	0.08	I	none	11008
50.0	15.24	0.07	R	none	11008
50.0	15.78	0.08	V	none	11008
50.0	16.54	0.21	B	none	11008
95.0	18.7	0.3	I	none	11007
