	Time	Mag	MagErr	Band	System	Telescope	Source
0	195.0	19.93	0.19	White	?	none	12256
1	10800.0	21.2	0.0	R	?	none	12258
2	195.0	19.88	0.14	white_swift	?	none	12264
3	308.0	18.48	0.23	white_swift	?	none	12264
4	4096.0	20.17	0.16	white_swift	?	none	12264
5	619.0	18.7	0.0	v_swift	?	none	12264
6	545.0	18.64	0.32	b_swift	?	none	12264
7	403.5	18.28	0.09	u_swift	?	none	12264
8	693.0	17.48	0.25	u_swift	?	none	12264
9	6162.0	20.62	0.0	u_swift	?	none	12264
10	668.0	17.8	0.0	w1_swift	?	none	12264
11	595.0	18.3	0.0	w2_swift	?	none	12264
