	Time	Mag	MagErr	Band	System	Telescope	Source
0	1680.0	14.5	0.0	Unfiltered	?	none	3750
1	3729.0	16.0	0.0	R	Vega	none	3751
2	5601.0	17.8	0.0	R	Vega	none	3751
3	7200.0	18.7	0.0	R	Vega	none	3751
4	37377.6	22.0	0.0	I	?	none	3753
5	12000.0	19.0	0.0	I	?	none	3754
6	1104.0	14.6	0.0	Unfiltered	?	none	3755
7	2100.0	17.0	0.0	Unfiltered	?	none	3755
8	2670.0	18.6	0.0	Unfiltered	?	none	3755
9	235.09	18.8	0.0	v_swift	?	none	3759
10	365.14	17.5	0.0	v_swift	?	none	3759
11	1357.88	18.5	0.0	v_swift	?	none	3759
12	11900.74	20.0	0.0	v_swift	?	none	3759
13	336.31	18.5	0.0	b_swift	?	none	3759
14	1148.34	19.7	0.0	b_swift	?	none	3759
15	6919.71	20.7	0.0	b_swift	?	none	3759
16	18490.49	20.7	0.0	b_swift	?	none	3759
17	322.1	18.3	0.0	u_swift	?	none	3759
18	1043.66	19.5	0.0	u_swift	?	none	3759
19	6115.3	20.7	0.0	u_swift	?	none	3759
20	17685.21	20.7	0.0	u_swift	?	none	3759
21	308.4	18.7	0.0	UVW1	?	none	3759
22	5208.39	21.1	0.0	UVW1	?	none	3759
23	16778.3	21.1	0.0	UVW1	?	none	3759
24	294.29	18.5	0.0	UVM2	?	none	3759
25	1446.35	19.5	0.0	UVM2	?	none	3759
26	12705.06	20.9	0.0	UVM2	?	none	3759
27	351.49	19.4	0.0	UVW2	?	none	3759
28	1253.64	20.2	0.0	UVW2	?	none	3759
29	10993.89	21.5	0.0	UVW2	?	none	3759
30	7560.0	20.72	0.22	R	?	none	3792
31	5310.0	20.9	0.1	R	Vega	none	3774
32	11340.0	20.9	0.1	R	Vega	none	3774
33	36000.0	21.4	0.0	Rc	Vega	none	3780
34	10080.0	22.1	0.1	R	?	none	3783
35	95220.0	22.05	0.05	R	?	none	3783
