	Time	Mag	MagErr	Band	System	Telescope	Source
0	80.0	17.0	0.0	R	Vega	none	9282
1	580.0	19.0	0.0	R	Vega	none	9282
2	780.0	23.4	0.0	g'	?	none	9283
3	780.0	23.3	0.0	r'	?	none	9283
4	780.0	22.4	0.0	i'	?	none	9283
5	780.0	21.8	0.0	z'	?	none	9283
6	780.0	21.5	0.0	J	?	none	9283
7	780.0	20.2	0.0	H	?	none	9283
8	780.0	19.6	0.0	K	?	none	9283
9	10437.0	21.79	0.1	J	Johnson	none	9286
10	10437.0	20.08	0.05	H	Johnson	none	9286
11	10437.0	19.15	0.03	K	Johnson	none	9286
12	21560.0	16.4	0.0	Unfiltered	Vega	none	9291
13	22598.5	17.9	0.0	Unfiltered	Vega	none	9291
14	95397.0	20.0	0.2	K	?	none	9306
15	174.0	21.0	0.0	white(fc)_swift	Swift	none	9309
16	5723.5	22.2	0.0	white_swift	Swift	none	9309
17	6595.0	20.6	0.0	v_swift	Swift	none	9309
18	3668.0	20.8	0.0	b_swift	Swift	none	9309
19	3466.0	20.8	0.0	u_swift	Swift	none	9309
20	3553.0	20.5	0.0	uvw1_swift	Swift	none	9309
21	3438.0	21.4	0.0	uvm2_swift	Swift	none	9309
22	6189.0	20.3	0.0	uvw2_swift	Swift	none	9309
