Time	Mag	MagErr	Band	Telescope	Source
132.0	19.7	0.5	White	none	8186
39240.0	22.2	0.1	g'	none	8194
39240.0	21.4	0.1	r'	none	8194
39240.0	21.2	0.1	i'	none	8194
39240.0	21.2	0.1	z'	none	8194
39240.0	20.2	0.1	J	none	8194
39240.0	19.2	0.1	H	none	8194
39240.0	18.5	0.1	K	none	8194
132.0	19.71	0.15	white	none	8198
388.0	18.61	0.12	v	none	8198
3436.0	21.02	0.44	b	none	8198
3320.5	20.37	0.34	u	none	8198
3206.0	20.9	0.0	uvw1	none	8198
3091.0	20.5	0.0	uvm2	none	8198
3656.0	21.1	0.0	uvw2	none	8198
12960.0	16.9	0.0	R	none	8216
13680.0	18.4	0.0	R	none	8216
