	Time	Mag	MagErr	Band	System	Telescope	Source
0	3275.0	19.6	0.0	White	Swift	none	10486
1	702.0	20.5	0.0	R	?	none	10487
2	3275.5	21.08	0.0	white(FC)_swift	Swift	none	10499
3	4589.0	21.32	0.0	white_swift	Swift	none	10499
4	10454.0	20.48	0.0	v_swift	Swift	none	10499
5	4384.0	20.79	0.0	b_swift	Swift	none	10499
6	7443.0	20.66	0.0	u_swift	Swift	none	10499
7	7689.5	21.11	0.0	uvw1_swift	Swift	none	10499
8	10846.5	21.11	0.0	uvm2_swift	Swift	none	10499
9	9894.5	21.28	0.0	uvw2_swift	Swift	none	10499
10	2325.0	20.0	0.0	R	Vega	none	10504
11	61007.0	21.6	0.0	R	Vega	none	10521
12	21980.0	22.0	0.2	R	Vega	none	10565
