	Time	Mag	MagErr	Band	System	Telescope	Source
0	147.0	18.0	0	White_swift	?	none	5398
1	126.5	17.7	0	Clear	Vega	none	5400
2	186.5	16.7	0	I	Vega	none	5400
3	214.0	18.0	0	Clear	Vega	none	5400
4	258.5	16.8	0	V	Vega	none	5400
5	240.0	19.0	0	R	Vega	none	5401
6	3364.5	20.1	0	WHITE_swift	?	none	5402
7	5929.0	20.3	0	V_swift	?	none	5402
8	3554.0	20.6	0	B_swift	?	none	5402
9	3439.5	20.2	0	U_swift	?	none	5402
10	3325.5	19.7	0	W1_swift	?	none	5402
11	8344.5	20.6	0	M2_swift	?	none	5402
12	5787.0	20.7	0	W2_swift	?	none	5402
13	62640.0	22.9	0	r'	AB	none	5406
14	64627.2	22.6	0	i'	AB	none	5406
