	Time	Mag	MagErr	Band	System	Telescope	Source
0	106.0	19.8	0.1	White	Vega	none	7753
1	11700.0	21.38	0.4	i'	Vega	none	7756
2	26280.0	23.0	0.5	R	?	none	7757
3	154.5	19.59	0.12	white	Swift	none	7758
4	908.0	20.58	0.28	white	Swift	none	7758
5	410.5	20.26	0.38	v	Swift	none	7758
6	1131.5	19.96	0.45	v	Swift	none	7758
7	3482.0	20.92	0.0	b	Swift	none	7758
8	3367.0	20.6	0.0	u	Swift	none	7758
9	3251.5	20.33	0.0	w1	Swift	none	7758
10	3848.0	20.38	0.0	m2	Swift	none	7758
11	3702.0	20.25	0.0	w2	Swift	none	7758
