	Time	Mag	MagErr	Filter	System	Telescope	Source
0	217.0	18.0	0.0	V	?	none	3799
1	6769.0	20.5	0.0	V	Swift	none	3804
2	4333.0	21.4	0.0	B	Swift	none	3804
3	3943.0	21.2	0.0	U	Swift	none	3804
4	3482.5	20.3	0.0	UVW1	Swift	none	3804
5	7204.0	20.7	0.0	UVM2	Swift	none	3804
6	6396.0	20.8	0.0	UVW2	Swift	none	3804
7	61560.0	21.4	0.3	i	Vega	none	3807
8	61560.0	21.3	0.0	R	Vega	none	3807
9	48369.0	23.0	0.0	V	?	none	3809
10	50097.0	23.2	0.0	R	?	none	3809
11	50961.0	20.5	0.0	I	?	none	3809
12	127857.0	21.4	0.0	I	?	none	3809
