Time	Mag	MagErr	Band	Telescope	Source
162.0	16.0	0.0	White	none	8182
163.0	18.7	0.09	white	none	8192
419.0	16.6	0.07	v	none	8192
3366.0	19.49	0.15	b	none	8192
3251.0	20.7	0.0	u	none	8192
3136.5	20.3	0.0	uvw1	none	8192
5318.0	19.9	0.0	uvm2	none	8192
3587.0	20.5	0.0	uvw2	none	8192
3420.0	17.1	0.0	g'	none	8202
3420.0	17.6	0.0	Rc	none	8202
3420.0	17.6	0.0	Ic	none	8202
112.0	16.2	0.2	Unfiltered	none	8207
542.0	21.3	0.0	white	none	8208
740.0	18.1	0.0	uvw2	none	8208
2573.0	19.2	0.0	uvm2	none	8208
738.0	18.8	0.0	uvw1	none	8208
762.5	19.2	0.0	u	none	8208
782.5	18.9	0.0	b	none	8208
735.0	20.6	0.0	v	none	8208
