Time	Mag	MagErr	Band	Telescope	Source
172.0	18.0	0.0	V_swift	none	4479
19.6	13.4	0.0	Unfiltered	none	4480
81.0	14.5	0.0	Unfiltered	none	4480
72.0	18.9	0.4	V	none	4482
50.0	16.2	0.0	R	none	4483
101.0	17.0	0.0	R	none	4483
137.0	17.0	0.0	R	none	4483
555.0	17.7	0.0	R	none	4483
130.0	16.0	0.0	Unfiltered	none	4485
32040.0	20.5	0.0	R	none	4490
83520.0	23.2	0.0	R	none	4494
3927.5	18.5	0.0	V_swift	none	4497
7551.5	19.6	0.0	V_swift	none	4497
8710.5	21.2	0.0	B_swift	none	4497
11134.5	20.8	0.0	U_swift	none	4497
13695.5	20.3	0.0	W1_swift	none	4497
8091.5	20.1	0.0	M2_swift	none	4497
11023.0	20.1	0.0	W2_swift	none	4497
