	Time	Mag	MagErr	Band	System	Telescope	Source
0	1876.0	16.1	0	Unfiltered	Vega	none	4009
1	186.3	17.3	0	Unfiltered	Vega	none	4010
2	648.5	15.5	0	Rc	?	none	4024
3	3793.0	17.1	0	Ic	?	none	4024
4	49057.9	22.5	0	r'	?	none	4025
5	3169.5	20.1	0	V_swift	Swift	none	4028
6	1104.5	20.2	0	B_swift	Swift	none	4028
7	5954.0	20.5	0	U_swift	Swift	none	4028
8	4098.0	20.3	0	UVW1_swift	Swift	none	4028
9	3675.0	20.6	0	UVM2_swift	Swift	none	4028
10	1164.5	20.1	0	UVW2_swift	Swift	none	4028
11	1758.0	16.0	0	R	Vega	none	4047
