Time	mag	mag_err	band	Telescope	Source
146114.42	21.33	0.11	r	none	manual
75606.42	19.6	0.076	V	none	manual
75606.42	19.5	0.087	B	none	manual
75606.42	19.8	0.064	R	none	manual
75606.42	19.3	0.049	I	none	manual
56242.5	21.02	0.27	uvw2	none	manual
56826.42	21.08	0.28	uvw2	none	manual
103718.42	20.7	0.32	uvw1	none	manual
257414.42	21.2	0.4	R	none	manual
1210334.42	22.65	0.05	R	none	manual
