Time	mag	mag_err	band	Telescope	Source
750.0	21.54	0.22	R	none	manual
1338.0	20.02	0.12	I	none	manual
1673.0	20.24	0.15	I	none	manual
2008.0	20.08	0.13	I	none	manual
2346.0	20.17	0.17	I	none	manual
2681.0	20.34	0.19	I	none	manual
3865.0	20.31	0.17	I	none	manual
2858.0	20.3	0.429	R	none	manual
47779.0	22.01	0.05	i	none	manual
