Time	Mag	MagErr	Band	Telescope	Source
239.0	19.6	0.0	White	none	8524
225.0	21.32	0.0	white	none	8527
929.0	21.29	0.0	white	none	8527
5826.0	21.5	0.0	white	none	8527
6237.0	19.79	0.0	v	none	8527
5621.5	20.82	0.0	b	none	8527
5415.5	20.49	0.0	u	none	8527
5210.5	20.26	0.0	uvw1	none	8527
5005.0	19.88	0.0	uvm2	none	8527
6032.5	20.24	0.0	uvw2	none	8527
34704.0	23.3	0.2	g'	none	8529
34704.0	23.0	0.2	r'	none	8529
34704.0	22.5	0.2	i'	none	8529
34704.0	22.0	0.2	z'	none	8529
34704.0	21.6	0.2	J	none	8529
34704.0	21.2	0.2	H	none	8529
34704.0	20.6	0.2	K	none	8529
4600.0	16.7	0.0	0	none	8535
6722.0	17.6	0.0	0	none	8535
7056.0	20.9	0.5	0	none	8675
