	Time	Mag	MagErr	Band	System	Telescope	Source
0	198.0	19.6	0.0	White	?	none	9400
1	106.0	16.8	0.0	R	Vega	none	9401
2	157.8	17.5	0.0	R	Vega	none	9401
3	231.2	18.5	0.0	R	Vega	none	9401
4	152.4	15.7	0.0	R	Vega	none	9402
5	100.75	15.1	0.0	Unfiltered	?	none	9404
6	123.0	16.5	0.0	Unfiltered	?	none	9404
7	453.0	17.6	0.0	Unfiltered	?	none	9404
8	3776.5	21.5	0.0	white_swift	Swift	none	9407
9	3973.5	19.8	0.0	v_swift	Swift	none	9407
10	3880.0	20.6	0.0	b_swift	Swift	none	9407
11	3650.0	20.4	0.0	u_swift	Swift	none	9407
12	4396.5	20.3	0.0	uvw1_swift	Swift	none	9407
13	4341.5	20.4	0.0	uvm2_swift	Swift	none	9407
14	4112.0	20.6	0.0	uvw2_swift	Swift	none	9407
15	10200.0	25.0	0.4	g	Johnson	none	9408
16	10200.0	23.5	0.2	r	Johnson	none	9408
17	10200.0	23.5	0.3	i	Johnson	none	9408
18	10200.0	23.6	0.0	z	Johnson	none	9408
19	12270.0	21.9	0.0	J	Johnson	none	9408
20	12270.0	20.7	0.0	H	Johnson	none	9408
21	12270.0	19.9	0.0	K	Johnson	none	9408
22	14400.0	23.5	0.0	R	?	none	9409
23	1188.0	22.8	0.0	R	Vega	none	9410
