	Time	Mag	MagErr	Band	System	Telescope	Source
0	98.0	19.6	0	White	?	none	9935
1	20088.0	23.0	0	R	Vega	none	9941
2	173.0	21.02	0	white(FC)	Swift	none	9949
3	1322.0	21.21	0	white	Swift	none	9949
4	1372.0	19.19	0	v	Swift	none	9949
5	3271.5	20.32	0	b	Swift	none	9949
6	435.0	20.3	0	u(FC)	Swift	none	9949
7	3307.5	20.22	0	u	Swift	none	9949
8	3193.0	20.25	0	uvw1	Swift	none	9949
9	5390.0	19.77	0	uvm2	Swift	none	9949
10	1002.5	19.09	0	uvw2	Swift	none	9949
11	9720.0	19.9	0	R	Vega	none	9996
12	9720.0	18.2	0	V	Vega	none	9996
13	9720.0	18.2	0	I	Vega	none	9996
