Time	Mag	MagErr	Band	Telescope	Source
14203.4	19.1	0.2	g'	none	8540
14203.4	18.8	0.2	r'	none	8540
14203.4	18.6	0.2	i'	none	8540
14203.4	18.5	0.2	z'	none	8540
14203.4	18.4	0.2	J	none	8540
14203.4	18.2	0.2	H	none	8540
14203.4	18.1	0.2	K	none	8540
2890.5	17.93	0.04	white	none	8544
3072.0	17.58	0.08	v	none	8544
3892.0	18.26	0.07	b	none	8544
3687.0	17.62	0.06	u	none	8544
3482.5	20.6	0.48	uvw1	none	8544
3995.0	20.09	0.0	uvm2	none	8544
7701.5	20.78	0.0	uvw2	none	8544
19440.0	19.34	0.04	B	none	8547
19440.0	18.61	0.04	R	none	8547
19440.0	18.21	0.04	I	none	8547
19440.0	17.21	0.15	J	none	8547
19440.0	17.05	0.15	H	none	8547
19440.0	16.75	0.15	K	none	8547
