Time	Mag	MagErr	Band		GCN
139.5	18.00	0.15	White_swift	14874
960	>18.9	?	R		14875
876	17.26	0.12	J		14876
876	16.78	0.15	H		14876
2628	>20.3	?	R		14878
3078	21.23	0.07	r'		14880
3078	21.05	0.06	i'		14880
1500	>18.7	?	I		14881
34.4	>16.9	?	R		14883
94.4	>17.5	?	R		14883
1789.5	>19.9	?	R		14883
35100	>21.2	?	R		14885
139.5	18.97	0.07	white_swift	14887
4263.	>20.6	?	v_swift		14887
7190.	>21.3	?	b_swift		14887
1159.5	19.68	0.24	u_swift		14887
9645.	>21.6	?	w1_swift	14887
9178.5	>21.6	?	m2_swift	14887
4148.5	>21.1	?	w2_swift	14887
37452.7	>20.2	?	g'		14889
37452.7	>20.2	?	Rc		14889
37452.7	>19.4	?	Ic		14889
