#t(s) exp m em
39.262 4.964 16.9402146707 0.0559709259911
48.273 5.026 17.225546386 0.0709302416687
57.282 4.993 17.49843401 0.0902618764534
66.279 5.033 17.472235594 0.0872222833494
75.288 5.004 17.5339822607 0.0923382724543
84.276 5.017 17.68288401 0.103294037108
93.289 5.016 17.66038401 0.102207666768
102.306 4.967 17.74128401 0.114177152824
111.325 5.007 17.65518401 0.101401958383
120.342 4.986 17.67838401 0.102393372289
141.226 4.954 17.3899759823 0.0795657503901
150.239 5.004 17.279410285 0.073599750809
159.242 5.005 17.5282159804 0.0927911804663
161.424 40.0 17.512302 0.008577
169.026 5.075 17.4354359804 0.0859250457406
178.046 5.006 17.2957759804 0.0735716078168
187.055 4.985 17.2175759804 0.0697025883778
196.072 4.983 17.3272159804 0.0744568613152
205.101 4.964 17.1396159804 0.065435614102
214.108 5.017 17.1355159804 0.0671422173678
223.111 5.011 17.0698559804 0.0619658647698
243.923 5.077 16.9931179893 0.057616126917
252.93 4.994 16.9205179893 0.0543435442707
254.114 40.0 17.211789 0.007095
261.937 5.03 16.9466679892 0.0560297263462
270.94 5.021 16.9424304892 0.055132119623
279.954 5.025 16.9635929893 0.0571251262909
288.972 5.011 17.0938179892 0.0625655177035
297.96 5.016 17.0598525603 0.0629537503302
306.973 5.027 17.0356179893 0.0602904666926
315.986 5.03 17.1006679892 0.062254400925
324.995 4.991 17.0875382746 0.0632335586454
342.423 40.0 17.320266 0.007663
346.884 5.004 17.2577593157 0.0715163272958
355.901 4.974 17.3041530635 0.0764859774915
364.914 4.978 17.3647576492 0.0769882059581
373.921 4.98 17.433783725 0.084989948932
382.94 4.997 17.3788259823 0.0786672665887
391.943 4.985 17.4543030635 0.0858305796331
400.95 5.006 17.4206776492 0.0818656708231
409.959 5.004 17.3613176492 0.0769886678968
418.962 5.008 17.4598093157 0.0844352411
427.964 5.007 17.642942649 0.100873918692
434.401 40.0 17.562951 0.008943
450.266 5.032 17.8710763794 0.119309150515
540.726 40.0 17.842763 0.010905
459.319 4.953 17.6739906651 0.100965793579
468.322 5.023 17.513926444 0.090197940887
477.335 4.997 17.817626444 0.116207395537
486.338 4.994 17.8800906651 0.120606831349
495.345 5.003 17.8047906651 0.113425356226
504.348 5.006 17.8120763794 0.113027462419
513.357 4.964 17.9263431107 0.127480061562
522.355 5.017 18.0266431107 0.137257063035
531.368 4.986 17.883747808 0.121207445284
553.0 81.0 17.7083578307 0.034005083601
646.394 40.0 18.119545 0.011864
655.0 83.0 18.2513206875 0.0499520430144
744.556 40.0 18.282206 0.015019
759.0 81.0 18.4339578307 0.059942004363
863.0 81.0 18.4197630635 0.0588443209455
866.167 40.0 18.338171 0.016338
961.821 40.0 18.42512 0.017709
1069.0 83.0 18.5388456875 0.0629183504305
1278.0 81.0 18.5336380635 0.0656791953685
1488.0 82.0 18.7183930057 0.073765407878
1591.0 82.0 18.4441578307 0.057394734453
