Time	Mag	Mag_Err	Filter
214272	21.63	0.04	R		astroph-0007201
#215136	17.5	0.5	K?		astroph-0007201
#217728	17.9	0.2	K?		astroph-0007201
218592	20.5	?	R		astroph-0007201
236736	21.77	0.12	R		astroph-0007201
298080	22.01	0.14	R		astroph-0007201
304992	18	?	J		astroph-0007201
#320544	18.3	?	K?		astroph-0007201
#562464	17.5	?	K?		astroph-0007201
683424	22.74	0.2	R		astroph-0007201
764640	22.84	0.23	R		astroph-0007201
854496	23.05	0.31	R		astroph-0007201
1.20096e6	23.2	0.13	R		astroph-0007201
1.28304e6	23.5	0.16	R		astroph-0007201
1.38499e6	20.5	0.4	K		astroph-0007201
1.55606e6	23.57	0.1	R		astroph-0007201
1.76947e6	23.39	0.05	R		astroph-0007201
1.77206e6	24.03	0.07	V		astroph-0007201
1.84982e6	23.46	0.21	R		astroph-0007201
2.03386e6	19.5	?	J		astroph-0007201
2.29824e6	20.5	?	J		astroph-0007201
#2.2991e6	19.5	?	K?		astroph-0007201
3.06893e6	23.46	0.1	R		astroph-0007201
3.92861e6	23.41	0.08	R		astroph-0007201
3.9312e6	23.66	0.05	R		astroph-0007201
214107.8400000001	21.54	0.04	R	astro-ph0102278
214971.83999999994	17.49	0.5	K'	astro-ph0102278
217563.84000000003	17.89	0.2	K'	astro-ph0102278
236571.83999999994	21.66	0.12	R	astro-ph0102278
297915.84	21.92	0.14	R	astro-ph0102278
682914.24	22.65	0.2	R	astro-ph0102278
764475.8400000002	0.23	1	22.77	astro-ph0102278
843099.8400000002	0.06	1	22.97	astro-ph0102278
854331.8400000001	0.09	1	22.86	astro-ph0102278
864095.04	0.05	1	23.05	astro-ph0102278
937275.8400000002	0.11	1	22.95	astro-ph0102278
1.1976854400000002e6	0.05	1	23.38	astro-ph0102278
1.19820384e6	0.12	1	23.19	astro-ph0102278
1.1986358399999999e6	0.08	1	24.31	astro-ph0102278
1.2007958400000003e6	23.11	0.13	R	astro-ph0102278
1.2828758399999999e6	23.41	0.16	R	astro-ph0102278
1.3848278399999999e6	20.49	0.4	K	astro-ph0102278
1.5558998400000003e6	0.1	7	23.48	astro-ph0102278
1.76930784e6	0.05	2	23.3	astro-ph0102278
1.7718998400000003e6	0.07	2	23.92	astro-ph0102278
1.84965984e6	23.37	0.21	R	astro-ph0102278
3.0687638400000003e6	0.1	2	23.37	astro-ph0102278
3.5265110400000005e6	0.15	1	23.66	astro-ph0102278
3.928443840000001e6	23.32	0.08	R	astro-ph0102278
3.9310358399999994e6	0.05	2	23.57	astro-ph0102278
