date	time	exp	mag	mag_err	band	source
2011-11-07	03:41:00.000	460	21.3	0.1	r'	manual
2011-11-07	00:52:52.000	147	19.45	0.1	white	manual
2011-11-07	01:05:08.000	400	19.467	0.369	R	manual
2011-11-07	01:21:19.000	1040	19.883	0.3165	R	manual
2011-11-07	01:52:15.000	1920	20.319	0.298	R	manual
2011-11-07	02:48:58.000	3440	20.818	0.351	R	manual
2011-11-07	04:39:17.000	7520	21.206	0.2215	R	manual
2011-11-07	07:27:32.000	8160	21.837	0.314	R	manual
2011-11-07	01:05:37.000	320	18.443	0.247	I	manual
2011-11-07	01:15:10.000	400	18.52	0.2375	I	manual
2011-11-07	01:39:59.000	1920	19.474	0.237	I	manual
2011-11-07	02:42:50.000	3920	19.898	0.2685	I	manual
2011-11-07	03:58:45.000	3440	20.297	0.3405	I	manual
2011-11-07	07:01:44.000	10400	20.65	0.2465	I	manual
