Time	Mag	MagErr	Band		GCN
231.	17.87	0.06	white(FC)_swift	11482
778.	17.59	0.1	white_swift	11482
6786.	18.58	0.06	white_swift	11482
830.	17.55	0.27	v_swift		11482
7196.5	18.39	0.15	v_swift		11482
580.	18.79	0.3	b_swift		11482
754.	18.	0.19	b_swift		11482
728.	17.25	0.18	u_swift		11482
1308.	17.26	0.18	u_swift		11482
1455.5	17.43	0.28	uvw1_swift	11482
16606.5	18.4	0.11	uvw1_swift	11482
7346.5	18.15	0.24	uvm2_swift	11482
51625.	19.54	0.16	uvm2_swift	11482
6992.	18.04	0.13	uvw2_swift	11482
57351.	20.21	0.2	uvw2_swift	11482
