Time      Mag		   MagErr	     Band        GCN
145.1     17.19            0.14              white_swift       12737
106       16.5              0.               R           12738
21360     21.99            0.2               u           12741
21360     21.34            0.05              g           12741
21360     20.90            0.05              r           12741
21360     20.72            0.06              i           12741
21360     20.72            0.21              z           12741
24444     18.60            0.02              R           12748
35280     19.01            0.05              R           12750
228.5     17.30            0.03             white_swift        12752
418       17.73            0.16             v_swift            12752
497.5     17.71            0.15             b_swift            12752
472.5     16.70            0.12             u_swift            12752
448.5     16.59            0.17             w1_swift           12752
773.5     16.84            0.24             m2_swift           12752
32522     18.7             0.2               R           12754
46824     20.17            0.01              g'          12757
46824     19.84            0.01              r'          12757
46824     19.67            0.02              i'          12757
46824     19.50            0.03              z'          12757
46824     19.29            0.07              J           12757
46824     18.93            0.08              H           12757
48750     19               0.4               R           12758
51900     19.2             0.3               R           12758
56016     18.3             0.2               J           12760
56016     17.8             0.3               H           12760
56016     16.2             0.3              Ks           12760
2820      17.11            0.01              R           12767
5700      17.42            0.01              R           12767
7200      17.56            0.01              R           12767
7920      17.62            0.01              R           12767
639.      17.3             0.2               g'          12768
639       16.12            0.09              Rc          12768
639       15.5             0.1              Ic           12768
24692     19.12            0.04             B            12769
25048     19.56            0.07             B            12769
29588     19.58            0.04             B            12769
29941     19.39            0.05             B            12769
25405     18.45            0.02             R            12769
25758     18.50            0.02             R            12769
30297     18.58            0.02             R            12769
30650     18.61            0.03             R            12769
231120    21.5             0.28             R            12809
329688    22.3             0.36             R            12809
72664     19.27            0.12             R            12832  
1224      14.94            0.10             Ks           12788
4032      17.67            0.04             Rc           12788
13500     18.53            0.02             Rc           12788
57240     19.3             0.1              I            12785
57240     18.4             0.1              J            12785 
142200    20.6             0.1              I            12785
87870     20.24            0.12             R            12778
87960     20.67            0.18             V            12778
89580     21.13            0.15             B            12778
90540     20.33            0.12             R            12778
91200     20.73            0.18             V            12778
91860     21.31            0.16             B            12778
92580     20.54            0.13             R            12778
93360     20.96            0.21             V            12778
94080     21.40            0.17             B            12778
43488     19.68            0.06             r'           12773 
47808     19.89            0.09             r'           12773
45144     19.57            0.05             i'           12773
40824     19.71            0.08             B            12773
46656     19.79            0.11             B            12773
