28.  15. 48. 47.1 
28.  15. 48. 47.1 
28.  15. 49. 34.7 
28.  15. 49. 34.7 
28.  15. 50. 37.3 
28.  15. 50. 37.3 
28.  15. 51. 43.1 
28.  15. 51. 43.1 
28.  15. 52. 59.7 
28.  15. 52. 59.7 
28.  15. 54. 41.3 
28.  15. 54. 41.3 
28.  15. 56. 38.4 
28.  15. 56. 38.4 
28.  16. 01. 44.8 
28.  16. 01. 44.8 
28.  22. 24. 47.9 
28.  22. 24. 47.9 
28.  22. 28. 14.1 
28.  22. 28. 14.1 
28.  22. 31. 42.7 
28.  22. 31. 42.7 
29.  00. 13. 44.5 
29.  00. 17. 12.7 
29.  00. 20. 45.7 
29.  00. 20. 45.7 
29.  01. 45. 51.9 
29.  01. 52. 48.1 
30.  08. 33. 55.
30.  10. 41. 29.
28.  18. 30. 46.0 
29.  23. 56. 38.0 
