#T_start(s)   Mag	err	Filter         
  108        17.19	0.03	white	       
    108        17.82	0.05	white          
   6078        20.07	0.14	white          
  11748        21.52	0.26	white          
    650       18.87	0	v              
   5053        19.82	0.32	v              
    576        19.40	0.30	b              
   5873       20.57	0	b              
      320       17.34	0.07	u	       
    320        17.50	0.07	u              
   5668        20.04	0.34	u              
    700        18.60	0.29	uvw1           
   5463       20.29	0	uvw1           	
    675       18.96	0	uvm2           
   5257       20.17	0	uvm2           
    626       19.41	0	uvw2           
   6284       19.97	0	uvw2           
