Date(UT)	Band	Mag	Telescope
2000 Sep 12.737	V	20.90 \pm 0.10	MSO 50 inch
2000 Sep 12.737	R	20.700 \pm 0.081	MSO 50 inch
2000 Sep 15.593	R	22.299 \pm 0.030	Keck II + ESI
2000 Sep 15.606	I	21.816 \pm 0.052	Keck II + ESI
2000 Sep 25.421	R	24.052 \pm 0.094	Keck I + LRIS
2000 Sep 25.451	I	23.412 \pm 0.071	Keck I + LRIS
2001 Jan 1.221	R	25.414 \pm 0.119	Keck II + ESI
2001 Jan 1.248	I	24.415 \pm 0.083	Keck II + ESI
