Date (UT) ∆t (d) Filter Exposure time (s) Magnitude Seeing
28 Sep. 2000 16.94 B 2600 25.10 ± 0.05 0.8′′
06 Oct. 2000 24.98 B 2600 25.41 ± 0.06 0.6′′
03 Nov. 2000 52.95 B 2600 26.0 ± 0.2 1.0′′
28 Sep. 2000 16.96 V 1500 24.67 ± 0.06 0.8′′
06 Oct. 2000 25.02 V 1500 24.96 ± 0.06 0.5′′
03 Nov. 2000 52.99 V 1500 25.66 ± 0.15 0.7′′
28 Sep. 2000 16.98 R 900 24.14 ± 0.07 0.8′′
06 Oct. 2000 25.03 R 900 24.45 ± 0.06 0.5′′
03 Nov. 2000 53.00 R 900 24.91 ± 0.15 0.7′′
28 Sep. 2000 16.99 I 1500 23.57 ± 0.07 0.8′′
06 Oct. 2000 25.00 I 1500 23.73 ± 0.06 0.5′′
03 Nov. 2000 52.97 I 1500 24.3 ± 0.1 0.7′′
28 Sep. 2000 16.89 J 2408 22.38 ± 0.08 0.7′′
06 Oct. 2000 24.93 J 2700 22.41 ± 0.05 0.5′′
05 Nov. 2000 54.90 J 2700 22.9 ± 0.1 0.5′′
