z=   2.1062000e+00 0.
TotalEnergy(erg)    2.2580000216147522e+05    5.8699212186859386e+03
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    7.1861626019152883e+05    1.1060394391995289e+04
Energy2(erg)    1.1680230500987913e+05    4.8959447213940457e+03
T_min_T_max    2.2166055131076871e+04    3.0623572409743158e+05
Interval1    2.2166055131076871e+04    7.3615410004548059e+04
Interval2    7.3615410004548059e+04    3.0623572409743158e+05
