time_sec	mag	mag_err	band	source
900.0	13.543795637317931	0.01	R	manual
89360.0	20.866236509940585	0.05	g	manual
90405.0	20.555068248626775	0.02	r	manual
91356.0	20.388628396572543	0.03	i	manual
92519.0	20.333856104164383	0.04	z	manual
175200.0	21.585068248626776	0.03	r	manual
520440.0	23.626236509940583	0.15	g	manual
521639.0	23.515068248626772	0.09	r	manual
522841.0	23.148628396572544	0.06	i	manual
780180.0	23.585068248626776	0.06	r	manual
781379.0	23.298628396572543	0.06	i	manual
88817.0	20.986236509940586	0.09	g	manual
89959.0	20.575068248626778	0.03	r	manual
90910.0	20.418628396572544	0.05	i	manual
91864.0	20.333856104164383	0.03	z	manual
679.0	12.376505166708492	0.01	u	manual
1256.0	14.133795637317933	0.008	R	manual
843.0	14.440795637317931	0.011	R	manual
1025.0	14.668795637317931	0.011	R	manual
1860.0	15.086795637317934	0.011	R	manual
2961.0	15.733795637317934	0.014	R	manual
3819.0	16.076795637317932	0.015	R	manual
4429.0	16.27079563731793	0.014	R	manual
5054.0	16.43879563731793	0.019	R	manual
6869.0	16.86679563731793	0.017	R	manual
