z=   9.3699998e-01 0.
Total_Energy(erg)    4.8461044886090348e+33    1.3470737191984361e+34
   1.3485084e+34   1.3485529e+34   6.1261212700818388e+37   1.3485979e+34   1.3491509201071168e+34
   1.3483863e+34   1.3485529e+34   2.4458377268421029e+37            -NaN   1.3485377951447518e+34
   1.3485605e+34   1.3485529e+34   1.0884238729024357e+38   1.3482128e+34   1.3487385492489672e+34
   1.3482537e+34   1.3485529e+34   1.9976978329398691e+37   8.7942724e+37   1.3486454554541693e+34
   1.3485529e+34            -NaN   1.3485827535246905e+34   1.3486240e+34   1.3485470970887874e+34
   1.3485529e+34   1.3328047e+36                     -NaN   1.3485492e+34   1.3485528836679743e+34
   1.3485529e+34   1.3485529e+34   1.3485528836679743e+34   1.3485529e+34   1.3485528836679743e+34
   1.3485529e+34   1.3485529e+34   7.8130707242933159e+37   1.2294309e+38                     -NaN
   1.3485529e+34            -NaN                     -NaN            -NaN   1.3448591279907920e+34
   1.3481910e+34   1.3485529e+34   8.8571756861028619e+37   5.4249573e+37   1.3485865810099334e+34
   1.3485450e+34   1.3485529e+34   1.0304588695329180e+38   6.2720180e+37   1.3485967921352608e+34
   1.3485529e+34            -NaN   2.3543547893359950e+37   1.3485596e+34   1.3485528836679743e+34
   1.3485529e+34   1.3485529e+34                     -NaN            -NaN                     -NaN
Total_Energy_common(erg)    1.8956478405709097e+30    4.7250515218538300e+30
T_min_T_max    4.0268456861576318e+00    3.5319050503474624e+04
