z=   2.4300001e+00 0.
TotalEnergy(erg)    6.6605271611777339e+06    2.8368131633280222e+06
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    4.0563762027442977e+06    2.4038811445319843e+06
Energy2(erg)    2.5444023261083513e+06   -2.5938526704301527e+06
T_min_T_max    1.4583090095181839e+02    9.9833817298942768e+02
Interval1    1.4583090095181839e+02    2.4666556246689374e+03
Interval2    2.4666556246689374e+03    9.9833817298942768e+02
