time_sec	flux	flux_err	band	logF	logT	mag	mag_err
1237108.0	3.5988118356881954e-15	9.947061725179569e-16	r'	-14.443840859892966	6.092407615358002	24.2	0.3
29488.0	3.49732072559292e-15	4.347580831682874e-16	g'	-14.456264538417614	4.469645317874998	24.4	0.1
29488.0	2.993361303940939e-15	2.764905440253349e-16	r'	-14.523840859892966	4.469645317874998	24.4	0.1
29488.0	4.604966993109978e-15	8.826027151238422e-16	i'	-14.336773478336095	4.469645317874998	23.8	0.2
29488.0	3.152672834746978e-15	9.300823006261827e-16	z'	-14.501321095359364	4.469645317874998	24.1	0.3
29488.0	6.072751220089578e-15	1.1947317721353893e-15	J	-14.216614510077068	4.469645317874998	22.3	0.056
29488.0	6.248714328743221e-15	1.7503568850601107e-15	H	-14.204209329435065	4.469645317874998	21.6	0.056
29488.0	2.488805719789607e-14	9.111432806712567e-15	K	-13.604009003799783	4.469645317874998	19.4	0.056
2539547.0	1.5141159698191223e-14	9.818995903189579e-16	r	-13.819840859892965	6.404756254830206	22.64	0.07
2539547.0	2.0664577089523365e-14	1.4499693376608488e-15	i	-13.684773478336096	6.404756254830206	22.17	0.05
2539547.0	1.281088630532146e-14	1.950548454027841e-15	Z	-13.892420823089422	6.404756254830206	22.07	0.13
2539547.0	1.502754836809623e-14	2.860873958359982e-15	Y	-13.823111865524478	6.404756254830206	21.69	0.14
120347.0	1.1571388899844054e-14	2.8476185094677798e-15	J	-13.936614510077069	5.080435268689282	21.6	0.17
120347.0	6.022692230377694e-15	2.1264988625844515e-15	H	-14.220209329435065	5.080435268689282	21.64	0.24
