Time	Mag	MagErr	Band		GCN
165	>19.6	?	White_swift	20145
5664	22.69	0.20	r		20146
30978   21.97   0.12	r		20149
30978   21.36   0.06	i		20149
30978   20.88   0.11	Z		20149
30978   20.57   0.14	Y		20149
30978   20.05   0.27	J		20149
30978   >18.12	?	H		20149
494	>18.5	?	R		20153
1606	>19.5	?	R		20153
2823	>19.5	?	R		20153
4873	>19.5	?	R		20153
164.5	>20.08	?	white(fc)_swift	20159
2853.5	>20.62	?	white_swift	20159
3303.5	>18.61	?	v_swift		20159
5312.	>19.76	?	b_swift		20159
373.	>19.24	?	u_swift		20159
5521.	>19.88	?	u_swift		20159
3533.5	>19.66	?	uvw1_swift	20159
3418.5	>19.89	?	uvm2_swift	20159
3188.5	>19.59	?	uvw2_swift	20159
72462.8	21.8	0.20	R		20160
54445.8	>19.9	?	g'		20163
54445.8	>19.6	?	Rc		20163
54445.8	>19.2	?	Ic		20163
158770	22.0	0.24	R		20167
