T_start(s)	T_end(s)	Midtime(s)	Exp_time(s)	Mag	MagErr	Filter	Telescope	Source
172.	177.	-9.	-9.	14.58	0.07	CR	ROTSE	rykoff09
187.	192.	-9.	-9.	14.62	0.08	CR	ROTSE	rykoff09
201.	206.	-9.	-9.	14.64	0.08	CR	ROTSE	rykoff09
214.	219.	-9.	-9.	14.76	0.07	CR	ROTSE	rykoff09
228.	233.	-9.	-9.	14.81	0.08	CR	ROTSE	rykoff09
242.	247.	-9.	-9.	14.99	0.09	CR	ROTSE	rykoff09
256.	261.	-9.	-9.	15.03	0.09	CR	ROTSE	rykoff09
270.	275.	-9.	-9.	15.13	0.09	CR	ROTSE	rykoff09
284.	289.	-9.	-9.	15.03	0.1	CR	ROTSE	rykoff09
299.	304.	-9.	-9.	15.18	0.09	CR	ROTSE	rykoff09
312.	332.	-9.	-9.	15.23	0.06	CR	ROTSE	rykoff09
341.	361.	-9.	-9.	15.37	0.05	CR	ROTSE	rykoff09
370.	390.	-9.	-9.	15.48	0.07	CR	ROTSE	rykoff09
399.	419.	-9.	-9.	15.49	0.07	CR	ROTSE	rykoff09
428.	448.	-9.	-9.	15.57	0.06	CR	ROTSE	rykoff09
457.	477.	-9.	-9.	15.54	0.06	CR	ROTSE	rykoff09
486.	506.	-9.	-9.	15.67	0.08	CR	ROTSE	rykoff09
515.	535.	-9.	-9.	15.68	0.08	CR	ROTSE	rykoff09
544.	564.	-9.	-9.	15.82	0.08	CR	ROTSE	rykoff09
573.	593.	-9.	-9.	15.76	0.1	CR	ROTSE	rykoff09
602.	622.	-9.	-9.	15.84	0.08	CR	ROTSE	rykoff09
631.	651.	-9.	-9.	15.85	0.08	CR	ROTSE	rykoff09
3010.	3200.	-9.	-9.	17.05	0.09	CR	ROTSE	rykoff09
3210.	3400.	-9.	-9.	16.98	0.06	CR	ROTSE	rykoff09
3410.	3850.	-9.	-9.	17.12	0.04	CR	ROTSE	rykoff09
-9.	-9.	7460.	-9.	18.66	0.02	BJ	NOT	kann10
-9.	-9.	8280.	-9.	18.75	0.02	BJ	NOT	kann10
-9.	-9.	28900.	-9.	20.48	0.02	BJ	MDM	kann10
-9.	-9.	30500.	-9.	20.53	0.05	BJ	D1.5	kann10
-9.	-9.	30600.	-9.	20.5	0.03	BJ	MDM	kann10
-9.	-9.	37500.	-9.	20.9	0.04	BJ	MDM	kann10
-9.	-9.	40800.	-9.	20.92	0.04	BJ	MDM	kann10
-9.	-9.	102000.	-9.	22.34	0.05	BJ	VLT	kann10
-9.	-9.	114000.	-9.	22.5	0.07	BJ	MDM	kann10
-9.	-9.	200000.	-9.	23.35	0.15	BJ	MDM	kann10
-9.	-9.	204000.	-9.	23.14	0.12	BJ	MDM	kann10
-9.	-9.	101000.	-9.	22.	0.02	VJ	VLT	kann10
-9.	-9.	745.	-9.	15.98	0.04	RC	Terskol	kann10
-9.	-9.	805.	-9.	16.05	0.05	RC	Terskol	kann10
-9.	-9.	866.	-9.	16.08	0.05	RC	Terskol	kann10
-9.	-9.	926.	-9.	16.12	0.05	RC	Terskol	kann10
-9.	-9.	986.	-9.	16.11	0.06	RC	Terskol	kann10
-9.	-9.	1050.	-9.	16.22	0.05	RC	Terskol	kann10
-9.	-9.	1110.	-9.	16.26	0.05	RC	Terskol	kann10
-9.	-9.	1170.	-9.	16.23	0.06	RC	Terskol	kann10
-9.	-9.	1230.	-9.	16.36	0.07	RC	Terskol	kann10
-9.	-9.	1290.	-9.	16.43	0.07	RC	Terskol	kann10
-9.	-9.	1350.	-9.	16.35	0.06	RC	Terskol	kann10
-9.	-9.	1470.	-9.	16.44	0.07	RC	Terskol	kann10
-9.	-9.	1530.	-9.	16.39	0.06	RC	Terskol	kann10
-9.	-9.	1590.	-9.	16.46	0.07	RC	Terskol	kann10
-9.	-9.	1650.	-9.	16.29	0.15	RC	Terskol	kann10
-9.	-9.	1710.	-9.	16.52	0.08	RC	Terskol	kann10
-9.	-9.	1770.	-9.	16.48	0.07	RC	Terskol	kann10
-9.	-9.	1830.	-9.	16.52	0.07	RC	Terskol	kann10
-9.	-9.	1890.	-9.	16.51	0.08	RC	Terskol	kann10
-9.	-9.	1950.	-9.	16.62	0.08	RC	Terskol	kann10
-9.	-9.	2010.	-9.	16.66	0.08	RC	Terskol	kann10
-9.	-9.	2070.	-9.	16.62	0.09	RC	Terskol	kann10
-9.	-9.	2130.	-9.	16.65	0.08	RC	Terskol	kann10
-9.	-9.	2190.	-9.	16.67	0.09	RC	Terskol	kann10
-9.	-9.	2430.	-9.	16.75	0.11	RC	Terskol	kann10
-9.	-9.	2490.	-9.	16.86	0.1	RC	Terskol	kann10
-9.	-9.	2550.	-9.	16.94	0.11	RC	Terskol	kann10
-9.	-9.	2610.	-9.	16.88	0.09	RC	Terskol	kann10
-9.	-9.	2670.	-9.	16.75	0.08	RC	Terskol	kann10
-9.	-9.	2730.	-9.	16.95	0.13	RC	Terskol	kann10
-9.	-9.	2790.	-9.	17.08	0.13	RC	Terskol	kann10
-9.	-9.	2850.	-9.	16.9	0.11	RC	Terskol	kann10
-9.	-9.	2910.	-9.	16.99	0.13	RC	Terskol	kann10
-9.	-9.	2970.	-9.	16.89	0.12	RC	Terskol	kann10
-9.	-9.	3030.	-9.	16.87	0.1	RC	Terskol	kann10
-9.	-9.	3090.	-9.	16.87	0.1	RC	Terskol	kann10
-9.	-9.	3150.	-9.	17.07	0.12	RC	Terskol	kann10
-9.	-9.	3210.	-9.	16.98	0.11	RC	Terskol	kann10
-9.	-9.	3270.	-9.	17.26	0.17	RC	Terskol	kann10
-9.	-9.	3280.	-9.	17.08	0.02	RC	NOT	kann10
-9.	-9.	3330.	-9.	17.1	0.13	RC	Terskol	kann10
-9.	-9.	3390.	-9.	17.05	0.13	RC	Terskol	kann10
-9.	-9.	3450.	-9.	16.98	0.11	RC	Terskol	kann10
-9.	-9.	3510.	-9.	17.03	0.11	RC	Terskol	kann10
-9.	-9.	3570.	-9.	16.97	0.12	RC	Terskol	kann10
-9.	-9.	3630.	-9.	17.31	0.15	RC	Terskol	kann10
-9.	-9.	3690.	-9.	17.05	0.13	RC	Terskol	kann10
-9.	-9.	3750.	-9.	17.11	0.12	RC	Terskol	kann10
-9.	-9.	3810.	-9.	17.21	0.14	RC	Terskol	kann10
-9.	-9.	3870.	-9.	17.06	0.13	RC	Terskol	kann10
-9.	-9.	3930.	-9.	17.19	0.14	RC	Terskol	kann10
-9.	-9.	3990.	-9.	17.32	0.16	RC	Terskol	kann10
-9.	-9.	4050.	-9.	17.03	0.11	RC	Terskol	kann10
-9.	-9.	4110.	-9.	17.19	0.12	RC	Terskol	kann10
-9.	-9.	4170.	-9.	17.09	0.13	RC	Terskol	kann10
-9.	-9.	4230.	-9.	17.22	0.16	RC	Terskol	kann10
-9.	-9.	4290.	-9.	17.36	0.16	RC	Terskol	kann10
-9.	-9.	4350.	-9.	17.45	0.17	RC	Terskol	kann10
-9.	-9.	4410.	-9.	17.	0.11	RC	Terskol	kann10
-9.	-9.	4470.	-9.	17.4	0.19	RC	Terskol	kann10
-9.	-9.	4530.	-9.	17.33	0.2	RC	Terskol	kann10
-9.	-9.	4590.	-9.	17.33	0.17	RC	Terskol	kann10
-9.	-9.	4650.	-9.	17.22	0.13	RC	Terskol	kann10
-9.	-9.	4710.	-9.	17.43	0.19	RC	Terskol	kann10
-9.	-9.	4770.	-9.	17.62	0.22	RC	Terskol	kann10
-9.	-9.	4830.	-9.	17.61	0.25	RC	Terskol	kann10
-9.	-9.	4890.	-9.	17.29	0.19	RC	Terskol	kann10
-9.	-9.	4950.	-9.	17.8	0.27	RC	Terskol	kann10
-9.	-9.	5010.	-9.	17.69	0.23	RC	Terskol	kann10
-9.	-9.	5070.	-9.	17.68	0.24	RC	Terskol	kann10
-9.	-9.	5130.	-9.	17.51	0.19	RC	Terskol	kann10
-9.	-9.	5190.	-9.	17.78	0.31	RC	Terskol	kann10
-9.	-9.	5250.	-9.	17.43	0.19	RC	Terskol	kann10
-9.	-9.	5310.	-9.	17.45	0.22	RC	Terskol	kann10
-9.	-9.	5370.	-9.	17.73	0.27	RC	Terskol	kann10
-9.	-9.	5430.	-9.	17.27	0.17	RC	Terskol	kann10
-9.	-9.	5490.	-9.	17.13	0.24	RC	Terskol	kann10
-9.	-9.	5550.	-9.	17.55	0.22	RC	Terskol	kann10
-9.	-9.	5610.	-9.	17.67	0.31	RC	Terskol	kann10
-9.	-9.	5670.	-9.	17.5	0.28	RC	Terskol	kann10
-9.	-9.	5730.	-9.	17.3	0.25	RC	Terskol	kann10
-9.	-9.	5850.	-9.	17.56	0.67	RC	Terskol	kann10
-9.	-9.	5910.	-9.	17.57	0.29	RC	Terskol	kann10
-9.	-9.	5970.	-9.	17.72	0.56	RC	Terskol	kann10
-9.	-9.	6030.	-9.	17.8	0.53	RC	Terskol	kann10
-9.	-9.	27800.	-9.	19.63	0.03	RC	MDM	kann10
-9.	-9.	29600.	-9.	19.66	0.03	RC	MDM	kann10
-9.	-9.	31400.	-9.	19.8	0.06	RC	D1.5	kann10
-9.	-9.	32700.	-9.	19.8	0.06	RC	D1.5	kann10
-9.	-9.	34000.	-9.	19.85	0.06	RC	D1.5	kann10
-9.	-9.	34600.	-9.	19.92	0.06	RC	D1.5	kann10
-9.	-9.	36100.	-9.	19.88	0.03	RC	MDM	kann10
-9.	-9.	38800.	-9.	19.98	0.03	RC	MDM	kann10
-9.	-9.	87700.	-9.	21.22	0.04	RC	NOT	kann10
-9.	-9.	89200.	-9.	21.2	0.05	RC	INT	kann10
-9.	-9.	102000.	-9.	21.57	0.05	RC	VLT	kann10
-9.	-9.	103000.	-9.	21.52	0.05	RC	NOT	kann10
-9.	-9.	116000.	-9.	21.67	0.06	RC	MDM	kann10
-9.	-9.	176000.	-9.	22.28	0.08	RC	INT	kann10
-9.	-9.	198000.	-9.	22.54	0.29	RC	MDM	kann10
-9.	-9.	202000.	-9.	22.74	0.11	RC	MDM	kann10
-9.	-9.	263000.	-9.	22.97	0.13	RC	INT	kann10
-9.	-9.	348000.	-9.	23.56	0.08	RC	NOT	kann10
-9.	-9.	606000.	-9.	24.54	0.14	RC	WHT	kann10
-9.	-9.	7850.	-9.	17.4	0.02	IC	NOT	kann10
-9.	-9.	8670.	-9.	17.5	0.02	IC	NOT	kann10
-9.	-9.	31700.	-9.	19.27	0.04	IC	D1.5	kann10
-9.	-9.	89400.	-9.	20.74	0.05	IC	INT	kann10
-9.	-9.	101000.	-9.	21.05	0.04	IC	NOT	kann10
