Mid time (s)  1/2 Exposure (s)   Flux (Jy)  Err_flux (Jy)
   1.1859099999999999e+02    1.0000000000000000e+01    6.7149870289707177e-03    4.2924335142803185e-04
   1.3859100000000001e+02    1.0000000000000000e+01    5.8796474614906313e-03    3.4668998965358728e-04
   1.6359100000000001e+02    1.5000000000000000e+01    4.8816310083961484e-03    2.5091285893564223e-04
   1.9581450000000001e+02    1.7223500000000001e+01    3.3088330807971946e-03    1.8658812096977232e-04
   2.4945599999999999e+02    1.8500000000000000e+01    2.8016489844703675e-03    1.3618146412868500e-04
   3.1245600000000002e+02    2.5500000000000000e+01    2.5186085231008524e-03    1.5167486471099852e-04
   3.7595600000000002e+02    3.3000000000000000e+01    2.3586798504123684e-03    1.4600600696382520e-04
   4.5345600000000002e+02    3.9500000000000000e+01    1.6120904955396653e-03    9.7287501677227015e-05
   5.5145600000000002e+02    5.3500000000000000e+01    1.4862152119331359e-03    7.0422765201473228e-05
   6.9245600000000002e+02    6.7500000000000000e+01    1.2952182340822218e-03    7.0407228501892096e-05
   7.6895600000000002e+02    4.0000000000000000e+00    1.0613144953880310e-03    1.4058802870988845e-04
   4.5454560000000001e+03    4.4950000000000000e+02    3.0108086188316343e-04    1.4416019611358639e-05
   6.2354560000000001e+03    3.2550000000000000e+02    2.4189647917871471e-04    4.0540088507080078e-05
   1.0681956000000000e+04    9.0300000000000000e+02    1.2007678356285094e-04    5.2503092484569540e-06
   1.6824455999999998e+04    1.3095000000000000e+03    8.4723915115928641e-05    8.8734166507816315e-06
   2.2200455999999998e+04    8.9950000000000000e+02    5.0740823232078554e-05    3.5796810534954071e-06
   2.8445455999999998e+04    4.4950000000000000e+02    2.7354779262542721e-05    7.2844198036193852e-06
   3.7482455999999998e+04    3.7015000000000000e+03    2.4956396777200698e-05    3.3754116590023043e-06
   4.9104455999999998e+04    3.7495000000000000e+03    2.1491126960620878e-05    2.9363598108386991e-06
   6.3173455999999998e+04    6.2455000000000000e+03    2.0127666957378386e-05    2.8541171830558776e-06
   7.5606456000000006e+04    6.1805000000000000e+03    1.4349415563154218e-05    3.6200000624084466e-06
   9.3723956000000006e+04    8.7590000000000000e+03    6.8547918552017215e-06    2.3995490113105770e-06
   3.8427145600000001e+05    2.1461500000000000e+04    1.6679181870346072e-06    9.0598570457553857e-07
