2012-08-12	01:58:39	147	18.59	0.05	white	source
2012-08-12	02:09:17	78.0	18.49	0.19	v	manual
2012-08-12	02:02:04	39.0	18.95	0.19	b	manual
2012-08-12	02:02:49	246.0	18.61	0.09	u	manual
2012-08-11	15:51:48	650.0	18.4	0.1	r	manual
2012-08-11	16:04:46	720.0	18.9	0.17	r	manual
2012-08-11	16:18:37	720.0	19.3	0.27	r	manual
2012-08-11	16:32:27	720.0	19.0	0.24	r	manual
2012-08-11	15:46:08	n/a	17.3	0.2	P|	manual
2012-08-11	15:46:09	n/a	17.2	0.1	P-	manual
2012-08-11	15:49:12	n/a	17.6	0.2	P|	manual
2012-08-11	15:49:12	n/a	17.6	0.2	P-	manual
2012-08-11	15:52:52	n/a	17.8	0.2	P|	manual
