time	flux	flux_err	flux_err	band
89.89	8.407445739974592e-11	4.520081486441049e-12	4.531734747251884e-12	V
104.89	7.090291216537749e-11	2.5016566800502464e-12	2.5254892008412785e-12	V
124.89	5.678898063463653e-11	1.9026657126404753e-12	1.914529877071714e-12	V
144.89	4.754053591590647e-11	1.5504656465962223e-12	1.557494787255325e-12	V
169.89	3.950609221632074e-11	1.0412395620181817e-12	1.0694258087004673e-12	V
204.89	3.123662279123509e-11	7.391345069807097e-13	7.275944135530517e-13	V
229.76	2.7533668110377464e-11	1.3359133022505985e-12	1.324188632501874e-12	V
327.71	1.5383815869422534e-11	6.652982141497865e-13	6.657789595987983e-13	V
392.71	1.236699180900223e-11	5.457235420543476e-13	5.471060533600874e-13	V
472.71	1.0098667497967327e-11	4.3673335073155423e-13	4.3704893488063104e-13	V
557.44	7.479353727021174e-12	3.1026305622639696e-13	3.0933007576432003e-13	V
686.60	5.4936890373496535e-12	3.902365822303904e-13	3.929048231426932e-13	V
810.15	4.837980049776514e-12	3.10421522067582e-13	3.12694069507727e-13	V
950.53	4.1253810863665406e-12	1.3821732767320203e-13	1.3907918853078598e-13	V
1152.29	2.8331141497287173e-12	2.2777615425357987e-13	2.2789109094607843e-13	V
1412.16	2.4449167345909433e-12	1.8202345246407536e-13	1.8210746324549256e-13	V
1672.25	1.5369653374455949e-12	2.3480616897783464e-13	2.3422026448120595e-13	V
5493.44	8.47742728170752e-13	4.409804992570073e-14	4.405030067576392e-14	V
6724.01	7.824634733763882e-13	6.357077411274675e-14	6.371909238334954e-14	V
12085.66	5.343970759375817e-13	4.7918103417396005e-14	4.7792028106027656e-14	V
18118.65	4.171229383464634e-13	3.2828523089434503e-14	3.272327920229618e-14	V
24631.94	0	0	0	V
29938.58	2.977584349833152e-13	1.1109292844768052e-13	1.1099750153952499e-13	V
40741.96	3.0023690406757526e-13	5.234401262958458e-14	5.2510700424033205e-14	V
55109.09	2.0168057605921226e-13	4.1332381946448537e-14	4.146371287148594e-14	V
70288.56	1.6914691183080112e-13	1.9087212082450903e-14	1.9072353163673656e-14	V
84933.43	1.5200716984383436e-13	2.95838723439251e-14	2.957118341362574e-14	V
121922.68	9.787326426760768e-14	1.698899372593319e-14	1.7011932693850776e-14	V
152592.91	9.193144216994125e-14	2.2322653997455124e-14	2.2320626739598764e-14	V
182424.04	1.0033768417217974e-13	3.2812764978674125e-14	3.278868062418002e-14	V
235382.68	1.9367076728378394e-14	0	2.0467854629656555e-14	V
287179.07	2.8619633843541485e-14	8.892496276231914e-15	8.900473580793151e-15	V
359434.50	2.9858230964449884e-14	8.681248688009876e-15	8.677541866756377e-15	V
474442.42	2.398082242207363e-14	4.052805966696093e-15	4.064734796697238e-15	V
638716.06	1.8529515900163988e-14	6.0710641910774536e-15	6.0777902845005095e-15	V
789975.92	1.457015168682722e-14	3.4971829652061696e-15	3.504255963797256e-15	V
1014953.34	1.2401210323037158e-14	3.613735916632117e-15	3.618847272891881e-15	V
1267511.99	1.1062774835714164e-14	3.7469369513461145e-15	3.750943169626606e-15	V
2286340.74	1.7340598114285512e-14	0	9.15043708398363e-12	V
3041805.93	0	0	0	V
3972537.36	0	0	0	V
