Time	Mag	MagErr	Band	GCN
154	>18	?	White	16267
9301	>20.8	?	g'	16271
9301	>20.5	?	Rc	16271
9301	>19.4	?	Ic	16271
154.	>20.7	?	white(FC)	16273
417.5	>20.0	?	u(FC)	16273
3743.	>21.5	?	white	16273
4223.	>19.7	?	v	16273
3875.	>20.6	?	b	16273
6982.	>20.9	?	u	16273
7271.5	>20.9	?	w1	16273
9203.	>20.6	?	m2	16273
6794.5	>20.5	?	w2	16273
6408	20.27	0.11	z	16274
126	>17.8	?	Clear(roughly_R)	16275
146	>17.1	?	V	16275
166	>16.9	?	I	16275
43560	22.15	0.15	z	16278
61200	>24.1	?	g'	16280
61200	>24.5	?	r'	16280
61200	>24.2	?	i'	16280
61200	22.1	0.1	z'	16280
61200	20.9	0.2	J	16280
61200	20.9	0.2	H	16280
61200	>19.1	?	K	16280
52344	19.35	0.12	H	16282
56160	19.52	0.18	J	16282
