Filter         T_start(s)   T_stop(s)      Exp(s)         Mag

white_FC           155          305          147         >20.9
u_FC               314          563          246         >19.9
white              155         6156          363         >21.2
v                  644         6466          116         >18.9
b                  570         5952          216         >20.5
u                  314         5747          442         >20.1
w1                3947         4136          186         >20.0
m2                 670          690           19         >17.6
w2                 620         6362          216         >20.1
