z=   1.6920000e+00 0.
TotalEnergy(erg)    2.8097731059884332e+05    2.0338951730192537e+05
TotalEnergy_common(erg)                      -NaN                      -NaN
Energy1(erg)    4.7386394797142653e+05    3.2591059971000691e+05
Energy2(erg)    7.1071636444513177e+04    7.6758185959923081e+04
T_min_T_max    1.7597325202893810e+03    3.4128008516325717e+04
Interval1    1.7597325202893810e+03    1.8627693004463952e+04
Interval2    1.8627693004463952e+04    3.4128008516325717e+04
