time, mag, err, band, gcn
tmid 07.5868  ,18.69,0,   Rc,1949
tmid 10.4750  ,19.56,0,   CR,1949
tmid 12.2083  ,19.72,0,   CR,1949
tmid 13.6555  ,19.96,0,   CR,1949
tmid 14.7333  ,20.42,0,   CR,1949
2002 Jan 12.56,20.19,0,unfiltered,1949
2002 Jan 12.57,20.09,0,unfiltered,1949
2002 Jan 13.57,20.16,0,unfiltered,1949
2002 Jan 13.58,19.77,0,unfiltered,1949
2002 Feb 11.36,20.16,0,unfiltered,1949
2002 Feb 11.38,20.19,0,unfiltered,1949
2002 Feb 11.40,20.09,0,unfiltered,1949
2003 Jan 12.53,20.33,0,unfiltered,1949
2003 Jan 12.55,20.31,0,unfiltered,1949
2003 Jan 12.56,20.28,0,unfiltered,1949
2003 Mar 12.38,20.22,0,unfiltered,1949
2003 Mar 20.30,19.69,0,unfiltered,1949
25 Mar 0:01,20.38,0, Rc,1960
25 Mar 0:05,20.37,0, Rc,1960
25 Mar 0:09,20.57,0, Rc,1960
25 Mar 0:12,20.56,0, Rc,1960
25 Mar 0:16,20.43,0, Rc,1960
25 Mar 0:29,20.53,0, Rc,1960
25 Mar 0:33,20.55,0, Rc,1960
25 Mar 0:37,20.48,0, Rc,1960
25 Mar 0:40,20.57,0, Rc,1960
25 Mar 0:44,20.49,0, Rc,1960
25 Mar 0:48,20.41,0, Rc,1960
25 Mar 1:01,20.62,0, Rc,1960
25 Mar 1:04,20.61,0, Rc,1960
25 Mar 1:08,20.49,0, Rc,1960
25 Mar 1:12,20.62,0, Rc,1960
25 Mar 1:19,20.57,0, Rc,1960
25 Mar 2:54,20.47,0, Rc,1960
25 Mar 3:00,20.54,0, Rc,1960
25 Mar 3:05,20.44,0, Rc,1960
25 Mar 3:11,20.51,0, Rc,1960
25 Mar 3:17,20.59,0, Rc,1960
25 Mar 2:23,20.1,0, Ic,1960
25 Mar 3:35,22.08,0, V,1960
2003 Mar 24.19  ,16.59,0,unfiltered,1968
2003 Mar 24.23  ,16.26,0,unfiltered,1968
2003 Mar 24.27  ,18.83,0.09,unfiltered,1968
Mar. 26 00:54 UT,21.3,0.2, Rc,1973
Mar. 27 00:50 UT,21.6,0.2, Rc,1973
Mar. 28 03:45 UT,22.8,0.2, Rc,1973
Mar 27.135--27.161 ,23.04,0.03,V,2006
Mar 27.166--27.186 ,22.27,0.04,R,2006
Mar 27.186--27.205 ,21.78,0.05,I,2006
