Time	Mag	MagErr	Filter	Telescope	Source
21.13	18.0	0.3	Unfiltered	MASTER	5619
65.4	20.3	0.5	R	Skinakas/1.3m	5623
89.7	20.6	0.5	R	Skinakas/1.3m	5623
102.7	20.7	0.7	R	Skinakas/1.3m	5623
210.7	21.0	0.7	R	Skinakas/1.3m	5623
161.2	21.1	0.7	R	Skinakas/1.3m	5623
767.0	20.1	0.0	UVW2	Swift/UVOT	5625
1146.0	UVM2	20.4	0	Swift/UVOT	5625
995.0	20.8	0.0	U	Swift/UVOT	5625
746.0	20.6	0.0	B	Swift/UVOT	5625
91.0	17.5	0.3	R	355mm-CCD-Alta-U16	5632
218.0	18.2	0.3	R	355mm-CCD-Alta-U16	5632
448.0	18.3	0.3	R	355mm-CCD-Alta-U16	5632
743.0	18.7	0.3	R	355mm-CCD-Alta-U16	5632
1417.0	19.7	0.0	R	355mm-CCD-Alta-U16	5632
91.0	17.3	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
165.0	18.5	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
343.0	19.3	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
432.0	18.9	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
519.0	18.5	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
608.0	18.3	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
707.0	18.4	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
804.0	18.7	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
1001.0	20	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
1200.0	20.1	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
1298.0	20.1	0.3	Unfiltered	355mm-CCD-Alta-U16	5901
