Time	Mag	MagErr	Filter	Telescope	Source
69.2	17.4	0.0	Unfiltered	ROTSE-IIIb-McDonald-Observatory-Texas	3978
178.7	18.1	0.0	Unfiltered	ROTSE-IIIb-McDonald-Observatory-Texas	3978
5760.0	18.0	0.0	CR	60cm-OCS	3980
1098.0	21.0	0.0	R	automated-Palomar-60inch	3981
1218.0	20.5	0.0	i	automated-Palomar-60inch	3981
297.5	18.2	0.0	Unfiltered	0.76m-Katzman-Automatic-Imaging	3985
3119.5	20.3	0.0	V_swift	Swift/UVOT	3986
8630.5	20.6	0.0	B_swift	Swift/UVOT	3986
6531.0	20.9	0.0	U_swift	Swift/UVOT	3986
6071.0	20.5	0.0	W1_swift	Swift/UVOT	3986
3465.5	20.2	0.0	M2_swift	Swift/UVOT	3986
461.5	19.6	0.0	W2_swift	Swift/UVOT	3986
1201.0	18.25	0.16	H	PAIRITEL-1.3m	3990
