Time	Mag	MagErr	Filter	Telescope	Source
146.0	19.6	0	White	none	10841
1735.0	24.0	0	i'	La-silla/3.5m-NTT	10842
6984.0	18.8	0	J	1.3m-PAIRITEL-Mt.-Hopkins	10843
6984.0	17.9	0	H	1.3m-PAIRITEL-Mt.-Hopkins	10843
6984.0	16.6	0	Ks	1.3m-PAIRITEL-Mt.-Hopkins	10843
1497.0	24.2	0	g'	La-silla/2.2m-ESO/MPI	10844
1497.0	23.9	0	r'	La-silla/2.2m-ESO/MPI	10844
1497.0	22.9	0	i'	La-silla/2.2m-ESO/MPI	10844
1497.0	22.5	0	z'	La-silla/2.2m-ESO/MPI	10844
1497.0	21.4	0	J	La-silla/2.2m-ESO/MPI	10844
1497.0	20.7	0	H	La-silla/2.2m-ESO/MPI	10844
1497.0	20.3	0	K	La-silla/2.2m-ESO/MPI	10844
147.0	21.5	0	white(fc)_swift	Swift/UVOT	10856
939.0	21.5	0	white(fc)_swift	Swift/UVOT	10856
409.0	20.7	0	u(fc)_swift	Swift/UVOT	10856
3825.0	20.6	0	v_swift	Swift/UVOT	10856
3480.5	21.1	0	b_swift	Swift/UVOT	10856
3250.0	21.1	0	u_swift	Swift/UVOT	10856
4049.5	21.1	0	uvw1_swift	Swift/UVOT	10856
3710.5	21.1	0	uvw2_swift	Swift/UVOT	10856
3349.5	22.2	0	white_swift	Swift/UVOT	10856
19800.0	22.1	0	J	8m-Gemini-North-NIRI	10861
19800.0	20.9	0	K	8m-Gemini-North-NIRI	10861
772167.0	22.2	0	K'	none	10928
