Time	Mag	MagErr	Filter	Telescope	Source
1994.0	19.08	0.01	g'	La-Silla/-2.2m-ESO/MPI	8693
1994.0	18.04	0.01	i'	La-Silla/-2.2m-ESO/MPI	8693
1994.0	18.24	0.01	z'	La-Silla/-2.2m-ESO/MPI	8693
2119.0	16.12	0.03	J	La-Silla/-2.2m-ESO/MPI	8693
2119.0	15.45	0.02	H	La-Silla/-2.2m-ESO/MPI	8693
2119.0	14.92	0.03	Ks	La-Silla/-2.2m-ESO/MPI	8693
135.0	14.84	0.02	white	Swift/UVOT	8696
948.0	17.36	0.03	white	Swift/UVOT	8696
397.0	16.32	0.03	u	Swift/UVOT	8696
19992.0	20.45	0.25	i	Faulkes-Telescope-South	8699
21936.0	21.34	0.3	r	Faulkes-Telescope-South	8699
135.0	14.84	0.02	white	Swift/UVOT	8712
948.0	17.36	0.03	white	Swift/UVOT	8712
612.0	16.2	0.02	v	Swift/UVOT	8712
538.0	16.86	0.02	b	Swift/UVOT	8712
397.0	16.32	0.03	u	Swift/UVOT	8712
1233.5	20.9	0.0	uvw1	Swift/UVOT	8712
1208.5	21.0	0.0	uvm2	Swift/UVOT	8712
1245.5	21.1	0.0	uvw2	Swift/UVOT	8712
17017.0	18.3	0.0	g'	MITSuME-50cm	8724
18204.0	19.2	0.0	g'	MITSuME-50cm	8724
22939.0	19.2	0.0	g'	MITSuME-50cm	8724
17017.0	18.0	0.3	Rc	MITSuME-50cm	8724
18204.0	18.9	0.3	Rc	MITSuME-50cm	8724
22939.0	19.3	0.4	Rc	MITSuME-50cm	8724
17017.0	17.8	0.0	Ic	MITSuME-50cm	8724
18204.0	18.2	0.0	Ic	MITSuME-50cm	8724
22939.0	18.6	0.3	Ic	MITSuME-50cm	8724
