Time	Mag	MagErr	Filter	Telescope	Source
107.0	19.9	0.4	White	none	9754
15476.0	19.9	0.0	I	NOT+ALFOSC	9755
19075.0	20.3	0.0	R	NOT+ALFOSC	9755
37800.0	21.0	0.0	R	Paranal/-Kueyen-ESO's-VLT	9761
104040.0	22.3	0.1	i	NOT+ALFOSC	9766
151.0	19.53	0.14	white	Swift/UVOT	9758
3470.5	21.03	0.33	white	Swift/UVOT	9758
4366.5	19.87	0.3	v	Swift/UVOT	9758
5170.5	21.1	0.0	b	Swift/UVOT	9758
4979.0	20.8	0.0	u	Swift/UVOT	9758
4777.0	20.7	0.0	uvw1	Swift/UVOT	9758
4571.5	20.5	0.0	uvm2	Swift/UVOT	9758
7870.0	21.6	0.0	uvw2	Swift/UVOT	9758
