Time	Mag	MagErr	Filter	System	Telescope	Source
2412.0	19.38	0.1	U	Vega	UVOT	9044
2628.0	19.58	0.16	i'	AB	GMOS	9044
5688.0	19.98	0.1	U	Vega	UVOT	9044
6084.0	20.8	0.11	U	Vega	UVOT	9044
10944.0	21.96	0.2	U	Vega	UVOT	9044
23040.0	21.52	0.24	U	Vega	UVOT	9044
26640.0	21.69	0.23	U	Vega	UVOT	9044
44388.0	22.67	0.24	U	Vega	UVOT	9044
57600.0	19.04	0.13	U	Vega	Swift/UVOT	9048
57960.0	19.56	0.14	white	Vega	Swift/UVOT	9048
138240.0	20.97	0.05	g'	Vega	La-Silla/-2.2m-ESO/MPI	9054
138240.0	20.23	0.03	r'	Vega	La-Silla/-2.2m-ESO/MPI	9054
138240.0	19.89	0.04	i'	Vega	La-Silla/-2.2m-ESO/MPI	9054
138240.0	19.54	0.03	z'	Vega	La-Silla/-2.2m-ESO/MPI	9054
138240.0	19.54	0.06	J	Vega	La-Silla/-2.2m-ESO/MPI	9054
138240.0	19.02	0.06	H	Vega	La-Silla/-2.2m-ESO/MPI	9054
138240.0	18.52	0.08	K	Vega	La-Silla/-2.2m-ESO/MPI	9054
