Time(s)	Mag	MagErr	Filter	GalExtCorr	Source
2709.9	19.4	0.3	v	UVOT	foley06
14144.5	20.3	0.25	v	UVOT	foley06
41350.0	20.82	0.25	v	UVOT	foley06
71250.0	21.03	0.25	v	UVOT	foley06
2705.5	19.4	100.0	v	UVOT	foley06
14095.5	20.3	100.0	v	UVOT	foley06
29295.5	18.5	100.0	VJ	REM	foley06
34995.5	21.4	100.0	VJ	PROMPT	foley06
40095.5	20.82	100.0	v	UVOT	foley06
44695.5	22.07	0.17	VJ	Kuiper	foley06
47695.5	21.7	100.0	VJ	PROMPT	foley06
55095.5	22.62	0.19	VJ	Kuiper	foley06
65095.5	21.03	100.0	v	UVOT	foley06
138995.5	23.48	0.61	VJ	Kuiper	foley06
229995.5	24.07	0.18	VJ	Keck	foley06
1.5	11.0	100.0	RC	WIDGET	foley06
101.5	10.9	100.0	RC	WIDGET	foley06
82.8	16.2	100.0	RC	ART	foley06
354.5	16.2	100.0	RC	ART	foley06
626.5	17.0	100.0	RC	ART	foley06
1145.5	19.1	100.0	RC	Kiso	foley06
5165.5	17.8	100.0	RC	Mitsume	foley06
8635.5	20.4	0.2	RC	ARIES	foley06
11195.5	20.0	100.0	RC	TLS	foley06
13395.5	21.01	0.07	RC	RTT150	foley06
13895.5	20.5	100.0	RC	SAO	foley06
15695.5	21.1	0.05	RC	RTT150	foley06
17395.5	21.25	0.2	RC	Mercator	foley06
17595.5	21.25	0.05	RC	RTT150	foley06
19395.5	21.27	0.05	RC	RTT150	foley06
20795.5	21.44	0.06	RC	RTT150	foley06
23595.5	21.37	0.06	RC	RTT150	foley06
24695.5	21.5	0.06	RC	RTT150	foley06
28095.5	21.58	0.1	RC	Magellan	foley06
29295.5	18.3	100.0	RC	REM	foley06
29695.5	21.64	0.07	RC	RTT150	foley06
31495.5	21.6	0.07	RC	RTT150	foley06
41295.5	21.89	0.15	RC	Kuiper	foley06
46295.5	22.3	0.3	RC	Mercator	foley06
49895.5	21.96	0.13	RC	Kuiper	foley06
98995.5	22.55	0.35	RC	MAO	foley06
434995.5	23.7	0.2	RC	RTT150	foley06
18795.5	20.4	0.3	IC	MAO	foley06
28095.5	21.05	0.12	IC	Magellan	foley06
29295.5	17.9	100.0	IC	REM	foley06
40495.5	21.47	0.11	IC	CTIO1.3m	foley06
42995.5	21.3	0.2	IC	Kuiper	foley06
135995.5	22.29	0.39	IC	Kuiper	foley06
229995.5	23.01	0.11	IC	Keck	foley06
48495.5	21.8	0.12	zz	ARC	foley06
29295.5	18.2	100.0	J	REM	foley06
40495.5	20.38	0.28	J	CTIO1.3m	foley06
51695.5	20.59	0.19	J	PAIRITEL	foley06
51695.5	19.58	0.15	H	PAIRITEL	foley06
50095.5	18.53	0.18	K	PAIRITEL	foley06
45800.0	23.09	0.18	UJ	D1.5	deugarte07
138800.0	23.75	0.26	UJ	KPNO4m	deugarte07
11500.0	22.37	0.05	BJ	BTA	deugarte07
12250.0	22.44	0.05	BJ	BTA	deugarte07
13000.0	22.46	0.05	BJ	BTA	deugarte07
13700.0	22.55	0.05	BJ	BTA	deugarte07
20150.0	22.79	0.07	BJ	BTA	deugarte07
32700.0	23.05	0.1	BJ	D1.5	deugarte07
49700.0	23.54	0.17	BJ	D1.5	deugarte07
134500.0	24.26	0.1	BJ	D1.5	deugarte07
19550.0	22.11	0.06	VJ	BTA	deugarte07
31400.0	22.24	0.09	VJ	D1.5	deugarte07
140600.0	23.98	0.22	VJ	KPNO4m	deugarte07
211750.0	24.1	0.17	VJ	CTIO1.3	deugarte07
1490.0	19.5	100.0	RC	Kiso	deugarte07
3440.0	20.34	0.1	RC	LOT	deugarte07
7870.0	20.99	0.09	RC	Zeiss	deugarte07
8030.0	20.8	0.18	RC	LOT	deugarte07
8410.0	20.98	0.14	RC	LOT	deugarte07
8980.0	20.92	0.03	RC	BTA	deugarte07
9320.0	20.94	0.03	RC	BTA	deugarte07
9630.0	20.92	0.03	RC	BTA	deugarte07
9930.0	20.92	0.02	RC	BTA	deugarte07
10190.0	20.95	0.02	RC	BTA	deugarte07
10490.0	21.03	0.03	RC	BTA	deugarte07
10790.0	21.05	0.03	RC	BTA	deugarte07
12925.0	21.13	0.08	RC	RTT150	deugarte07
14325.0	21.05	0.06	RC	RTT150	deugarte07
15570.0	21.1	0.06	RC	RTT150	deugarte07
16370.0	21.19	0.06	RC	RTT150	deugarte07
17340.0	21.42	0.08	RC	RTT150	deugarte07
18240.0	21.4	0.08	RC	RTT150	deugarte07
19040.0	21.39	0.09	RC	RTT150	deugarte07
19090.0	21.32	0.04	RC	mBTA	deugarte07
20040.0	21.19	0.06	RC	RTT150	deugarte07
20840.0	21.52	0.09	RC	RTT150	deugarte07
21540.0	21.56	0.08	RC	RTT150	deugarte07
24060.0	21.52	0.06	RC	RTT150	deugarte07
25160.0	21.58	0.06	RC	RTT150	deugarte07
29600.0	21.8	0.12	RC	RTT150	deugarte07
30500.0	21.5	0.09	RC	RTT150	deugarte07
30750.0	21.81	0.13	RC	D1.5	deugarte07
31400.0	21.84	0.14	RC	RTT150	deugarte07
32300.0	21.95	0.15	RC	RTT150	deugarte07
38000.0	21.91	0.08	RC	D1.5	deugarte07
46850.0	22.0	0.07	RC	D1.5	deugarte07
52100.0	22.02	0.08	RC	D1.5	deugarte07
63100.0	22.5	0.11	RC	FTN	deugarte07
123850.0	23.08	0.09	RC	D1.5	deugarte07
138800.0	23.31	0.14	RC	D1.5	deugarte07
222350.0	23.86	0.17	RC	D1.5	deugarte07
305000.0	23.85	0.13	RC	D1.5	deugarte07
450500.0	23.7	0.2	RC	RTT150	deugarte07
479600.0	23.72	0.18	RC	D1.5	deugarte07
652800.0	23.97	0.11	RC	D1.5	deugarte07
2611800.0	24.64	0.17	RC	TNG	deugarte07
34000.0	21.25	0.07	IC	D1.5	deugarte07
53750.0	22.52	0.11	IC	D1.5	deugarte07
566900.0	23.5	0.18	IC	D1.5	deugarte07
27400.0	22.9	0.22	UJ	TNG	kann10
27900.0	22.5	0.14	UJ	TNG	kann10
28800.0	23.06	0.05	BJ	TNG	kann10
29500.0	23.07	0.05	BJ	TNG	kann10
29900.0	22.32	0.06	VJ	TNG	kann10
30100.0	22.37	0.06	VJ	TNG	kann10
16500.0	21.38	0.05	RC	TNG	kann10
16700.0	21.41	0.04	RC	TNG	kann10
16900.0	21.41	0.04	RC	TNG	kann10
22800.0	21.5	0.02	RC	TNG	kann10
23000.0	21.47	0.02	RC	TNG	kann10
23300.0	21.52	0.02	RC	TNG	kann10
23500.0	21.52	0.03	RC	TNG	kann10
23700.0	21.54	0.03	RC	TNG	kann10
23900.0	21.51	0.03	RC	TNG	kann10
24100.0	21.58	0.03	RC	TNG	kann10
24400.0	21.57	0.03	RC	TNG	kann10
24600.0	21.55	0.03	RC	TNG	kann10
24800.0	21.52	0.03	RC	TNG	kann10
25000.0	21.61	0.03	RC	TNG	kann10
25200.0	21.6	0.03	RC	TNG	kann10
25500.0	21.58	0.02	RC	TNG	kann10
25700.0	21.55	0.03	RC	TNG	kann10
25900.0	21.54	0.03	RC	TNG	kann10
26100.0	21.6	0.03	RC	TNG	kann10
26300.0	21.66	0.03	RC	TNG	kann10
26600.0	21.59	0.03	RC	TNG	kann10
26800.0	21.64	0.03	RC	TNG	kann10
27000.0	21.66	0.03	RC	TNG	kann10
30400.0	21.71	0.03	RC	TNG	kann10
30600.0	21.79	0.03	RC	TNG	kann10
42200.0	22.15	0.08	RC	TNG	kann10
42600.0	22.21	0.11	RC	TNG	kann10
115000.0	23.25	0.11	RC	TNG	kann10
278000.0	23.95	0.1	RC	TNG	kann10
804000.0	24.19	100.0	RC	TNG	kann10
902000.0	23.33	100.0	RC	TNG	kann10
30900.0	21.13	0.04	IC	TNG	kann10
31100.0	21.12	0.04	IC	TNG	kann1
