Time	Mag	MagErr	Telescope	Filter	GalExtCorr	Source
25103.5	23.24	0.08	VLT/FORS2	RC	no	arxiv0901.4038
291282.9	23.88	0.17	VLT/FORS2	RC	no	arxiv0901.4038
541546.6	23.71	0.16	VLT/FORS2	RC	no	arxiv0901.4038
885418.6	24.02	0.21	VLT/FORS2	RC	no	arxiv0901.4038
1674680.0	23.64	0.14	VLT/FORS2	RC	no	arxiv0901.4038
1836120.1	23.91	0.19	VLT/FORS2	RC	no	arxiv0901.4038
2265213.6	23.83	0.31	VLT/FORS2	RC	no	arxiv0901.4038
3478568.5	23.69	0.13	VLT/FORS2	RC	no	arxiv0901.4038
390.5	21.73	0.36	Swift/UVOT	White_swift	no	7150
482.0	20.46	0.0	Swift/UVOT	v_swift	no	7150
877.5	21.01	0.0	Swift/UVOT	b_swift	no	7150
763.0	20.33	0.0	Swift/UVOT	u_swift	no	7150
743.5	20.17	0.0	Swift/UVOT	uvw1_swift	no	7150
1194.5	21.0	0.0	Swift/UVOT	uvm2_swift	no	7150
912.5	20.65	0.0	Swift/UVOT	uvw2_swift	no	7150
